Chat_Happening_NOTHING |= 별다른 일이 일어나지 않았어.
Chat_Happening_EXPLORE[OwnKid] |= 탐험하러 가도 괜찮나요? 나는 작은 문처럼 숨어 있는 것을 찾는 걸 좋아해요.

Chat_Happening_PETS |= 동물들을 분류하고 있어.

Chat_Happening_PETS[Spouse] |= 동물들을 분류하고 있어. 누군가는 해야지!
Chat_Happening_PETS[Spouse] |= 애완동물을 돌보고 있어. 사랑스러워!
Chat_Happening_PETS[Spouse] |= 동물을 돌봐야해. 동물들은 스스에게 먹이 줄 수가 없어! 그치만, 동물들은 먹을 수 있고 먹히기도 하지.
Chat_Happening_PETS[Spouse] |= 그냥 애완동물을 손질하고 사랑해주는 중이야. 운이 좋은 녀석들이지.

Chat_Happening_PETS[OwnKid] |= 애완동물을 쓰다듬고 싶어요! 제가 동물 혐오증이 있다면 모를까, 그렇지 않다면요.
Chat_Happening_PETS[OwnKid] |= 동물에게 먹이를 주려고요.
Chat_Happening_PETS[OwnKid] |= 말씀하신 대로 애완동물에게 먹이를 주러 가려고요.
Chat_Happening_PETS[OwnKid] |= 애완동물 시간!

Chat_Happening_PETS[OwnKidAdult] |= 동물을 분류하려고 해요.
Chat_Happening_PETS[OwnKidAdult] |= 명령에 따라 애완동물에게 먹이를 줄 시간이네요. 차라리 냄새가 덜 나는 일을 하고 싶어요.
Chat_Happening_PETS[OwnKidAdult] |= 동물들 먹이 주기 시간이에요. 동물원은 우리 집과 비슷한 일종의 미친 동물 집이라는 것을 알게 되었죠.
Chat_Happening_PETS[OwnKidAdult] |= 질문하신 대로 애완 동물이 괜찮은지 확인하려고요.

Chat_Happening_EAT |= 뭐 좀 먹으러 갈게.
Chat_Happening_EAT |= 배가 좀 고파서 평소대로 먹으려고.
Chat_Happening_EAT |= 벌레를 조금 먹으려고. 아니면 다른 작은 곤충도.
Chat_Happening_EAT |= 군것질에 대한 갈망을 충족시켜줄 간식이 필요해.

Chat_Happening_EAT[P] |= 감사의 기도를 하고 나서 먹으려고.
Chat_Happening_EAT[P] |= 음식은 몸을 지탱해줘. 예배는 영혼을 지탱해주지.
Chat_Happening_EAT[P] |= 무언가를 먹으니 기도할 에너지가 생겼어.
Chat_Happening_EAT[P] |= 만물은 먹어야 하지. 우리가 발달하고, 먹고, 비옥하게 하고, 성장하는 것은 여신의 뜻이야.

Chat_Happening_EAT[J] |= 나 배고파... 작은 닭이 드루이드에게 말했다.
Chat_Happening_EAT[J] |= 맛있는 음식을 죽일 수도 있지만, 요즘 시대에는 살인이라는 개념조차 없으니 그냥 한 마리만 먹겠어.
Chat_Happening_EAT[J] |= 난 먹어야겠어. 음식을 좋아해! 공짜라면 더 좋지!
Chat_Happening_EAT[J] |= 과일나무의 열매로 빈 배를 채우려던 참이었어.

Chat_Happening_EAT[B] |= 밥을 먹어야지. 체력이 좋은 사람은 에너지를 유지해야 해.
Chat_Happening_EAT[B] |= 내 음식은 항상 최고급이니, 열심히 먹어서 영양분을 흡수해야겠어.
Chat_Happening_EAT[B] |= 나는 먹어야 해. 아마 어떤 오기르보다 더 많이 먹을 수 있을 거야.
Chat_Happening_EAT[B] |= 네가 먹는 음식이 곧 너이끼 떄문에 풍성하게 먹어야해.

Chat_Happening_EAT[Q] |= 나는 요리된 음식을 먹기 위해 도전할 거야.
Chat_Happening_EAT[Q] |= 첫 번째는 파이지만 케이크는 안 먹어. 나는 고기와는 운율이 맞지만 푸딩과는 맞지 않아. 나는 뭐지? 굶주린 것 말고?
Chat_Happening_EAT[Q] |= 미스터 페이스트리가 럼블리툼 동굴에 구멍을 뚫으러 갈 시간이야.
Chat_Happening_EAT[Q] |= 말을 먹을 수 있을 것 같아. 그래서 말들이 멸종한 건 아닐까? 그런 논리라면 왜 파이는 멸종하지 않았을까?

Chat_Happening_EAT[C] |= 이제 먹을 시간이야. 또 다람쥐 똥 맛이 나겠지. 이제 간식은 그만 먹어야겠어.
Chat_Happening_EAT[C] |= 으으, 식사 시간이야. 또 차가운 샐러드겠지.
Chat_Happening_EAT[C] |= 밥을 먹어야 하는데 속이 정말 까다로워요.
Chat_Happening_EAT[C] |= 한 활 제작자가 나를 시험해 보려고 한 적이 있어. 나는 그의 화살통에 크리스탈 콩과 완두콩을 넣어 먹었지.

Chat_Happening_EAT[Spouse] |= 식사중인데 당신이 괜찮다면 기다려줘. 입 안에 잔뜩 넣은 채 말하는 건 실례잖아.
Chat_Happening_EAT[Spouse] |= 그냥 배가 고파서 밥 좀 먹고 있어.
Chat_Happening_EAT[Spouse] |= 나는 그저 당신의 선한 자아와 여신께서 우리에게 주신 이 맛있는 음식을 먹고 있는 중이야.
Chat_Happening_EAT[Spouse] |= 오, 내 인생의 사랑이여, 그저 잘 얻은 영양분을 섭취하는 중이야.

Chat_Happening_EAT[OwnKid] |= 나는 음식을 먹고 있어요.
Chat_Happening_EAT[OwnKid] |= 배고파요. 식사 시간!
Chat_Happening_EAT[OwnKid] |= 음..음..음..음..음..음..음..음.. 먹고 있어요.
Chat_Happening_EAT[OwnKid] |= 야호! 식사 시간!

Chat_Happening_EAT[OwnKidAdult] |= 식사 중에 말을 걸어야 해요?
Chat_Happening_EAT[OwnKidAdult] |= 배가 고파서 배를 채우고 있어요.
Chat_Happening_EAT[OwnKidAdult] |= 하루 중 제가 가장 좋아하는 시간대... 먹는 시간이죠.
Chat_Happening_EAT[OwnKidAdult] |= 그냥 영양분을 섭취하는 것뿐이죠. 자식 노릇을 하다 보면 힘이 들어요.

Chat_Happening_TAVERN |= 술 한 잔 하려고.
Chat_Happening_TAVERN |= 술 취한 행동을 지지하지 않지만, 음주는 지지하지.
Chat_Happening_TAVERN |= 맥주 마시러 왔어.
Chat_Happening_TAVERN |= 술꾼들과 이야기를 나누고 어떤 술꾼이 나에게 술을 권하는지 알아볼 거야.

Chat_Happening_TAVERN[P] |= 힘든 예배를 마치고 갈증을 해소하기 위해 선술집에 가고 있어.
Chat_Happening_TAVERN[P] |= 나는 페이 신이 지시하지 않는 한 술에 취하는 것을 믿지 않아.
Chat_Happening_TAVERN[P] |= 선술집은 여신의 말씀을 전하기에 아주 좋은 장소라고 생각해. 그리고 술도 좀 마시고. 목이 마른 일이지!
Chat_Happening_TAVERN[P] |= 지금 당장 ******* 파인트 한 잔 마실 수 있어.

Chat_Happening_TAVERN[J] |= 마시고, 마시고, 즐겨! 선술집이 제격이!
Chat_Happening_TAVERN[J] |= 맛있는 맥주와 맛있는 바 안주가 기대돼.
Chat_Happening_TAVERN[J] |= 웃음소리, 즐거움, 토하는 소리로 선술집을 이길 수는 없지.
Chat_Happening_TAVERN[J] |= 술을 너무 많이 마셔서 선술집에 갔던 이유를 잊어버렸네, 다시 한 잔 더 마셔야겠어.

Chat_Happening_TAVERN[B] |= 선술집 시간은 모두에게 올바른 음주 방법을 보여줄 수 있는 좋은 시간이지.
Chat_Happening_TAVERN[B] |= 테이블 밑에 있는 사람은 누구든 마실 수 있을 것 같아. 말 그대로는 아니지.
Chat_Happening_TAVERN[B] |= 드래곤스브레스 13파인트를 마셔본 적도 있지만 아무렇지도 않아. 하지만 내 조상들은 모두 간 중독에 걸렸어.
Chat_Happening_TAVERN[B] |= 난 퀼에서 술을 제일 잘 마시는데 언젠가 증명해 보이겠. 지금은 조금만 마셔보지.

Chat_Happening_TAVERN[Q] |= 오늘도 마셔. 행크 호크가 30분 전에 말해줬어.
Chat_Happening_TAVERN[Q] |= 선술집에 좋은 오락거리가 있었으면 좋겠. 나는 광대 그리기를 좋아해. 정말 대단한 사람이. 저기 저쪽 분야에서.
Chat_Happening_TAVERN[Q] |= 내 피를 좋은 옛날 술로 바꿔야겠어. 내가 죽으면 아주 불안정한 벌이 되어 돌아올 거야.
Chat_Happening_TAVERN[Q] |= 벌레에게 신발이 필요하듯 술이 필요해! 아, 잠깐만...

Chat_Happening_TAVERN[C] |= 이 지긋지긋한 삶을 잊기 위해 술 한 잔 해야겠어.
Chat_Happening_TAVERN[C] |= 주점에 가는 중이야. 거기서 냄새가 나긴 하지만 신음하는 놈들은 선택의 여지가 없지.
Chat_Happening_TAVERN[C] |= 저 끔찍한 음유시인이 무대에 오르지 않았으면 좋겠어. 소가 뜨개질하듯 류트를 연주하지.
Chat_Happening_TAVERN[C] |= 내가 마실 맥주는 틀림없이 누군가 치즈 발로 으깬 것 같은 맛이 날 거야. 인생에서 적어도 한 가지는 좋은 게 있지.

Chat_Happening_WALK |= 멋진 산책을 하러 가는 중이야!
Chat_Happening_WALK |= 전통적인 방식으로 운동을 좀 하려고. 무작정 걷기.
Chat_Happening_WALK |= 하얀 길을 조금 두드리는 것뿐이야. 내가 걷고있다는 뜻이지.
Chat_Happening_WALK |= 이봐! 내가 여기를 걸어가고 있잖아! 자정이 아니라서 다행이네, 카우보이.

Chat_Happening_WALK[P] |= 예배를 드리기 위해서는 훌륭하고 정직한 산책이 필요해.
Chat_Happening_WALK[P] |= 그냥 돌아다니면서 멋진 자연을 감상해봐.
Chat_Happening_WALK[P] |= 우리의 경이로운 여신들의 시선 아래에서 사랑스러운 산책을 하게 될 거야.
Chat_Happening_WALK[P] |= 나는 단지 오로레의 부드러운 담요 아래를 걷는 게 좋아.

Chat_Happening_WALK[J] |= 나는 유쾌하고 늙었기 때문에 그냥 유쾌하게 산책하러 가고 있어.
Chat_Happening_WALK[J] |= 순회라는 단어가 재밌어서 킥킥 웃음이 나.
Chat_Happening_WALK[J] |= 멋진 퀼리언의 공기를 폐에 가득 채우기 위해 산책하러 가는 거야! 
Chat_Happening_WALK[J] |= 나는 산책을 정말 좋아해! 여행하면서 모든 곳을 돌아녀봤다고 확신해.

Chat_Happening_WALK[B] |= 난 퀼에서 최고의 워커야, 알지?
Chat_Happening_WALK[B] |= 남들의 열등한 집을 구경하기 위해 이 땅을 거닐고 있지.
Chat_Happening_WALK[B] |= 나는 단지 산책을 하고 있을 뿐이야. 산책이 나의 놀라운 아이디어를 떠올리는 방법이기 때문이지.
Chat_Happening_WALK[B] |= 이 부츠는 산책용으로 만들어졌어. 솔직히 말해서, 최고급 구부린 낸시로 만들어졌어.

Chat_Happening_WALK[Q] |= 나 산책할 예정이야. 나 달산책 할 수 있어, 알지? 그냥 밤에 나가는 거지.
Chat_Happening_WALK[Q] |= 나는 성큼성큼 걸어 나가는 것을 좋아해. 셔플을 신는 것보다 낫지.
Chat_Happening_WALK[Q] |= 방황해본 적 있어? 이에 대해 몇 시간 동안 얘기할 수 있었어.
Chat_Happening_WALK[Q] |= 다리를 쭉 뻗을 거야,라고 고문대에 있던 마조히스트가 말했다.

Chat_Happening_WALK[C] |= 아, 내가 지금 하고 있는 이 산책을 생각만 해도 발이 아파.
Chat_Happening_WALK[C] |= 나는 산책이 얼마나 지루한지 잊기 위해 산책을 하려고.
Chat_Happening_WALK[C] |= 신선한 공기를 마시러 나가는 거야. 신선하다는 것은 맥주와 소똥 냄새를 의미하지.
Chat_Happening_WALK[C] |= 정말 산책하러 가야 하나? 피곤해. 내 루틴을 편집기에서 변경해야 해.

Chat_Happening_SHOPPING |= 소모품을 사러 상점에 가는 중이야.
Chat_Happening_SHOPPING |= 소모품! 소모품! 예상치 못한 가격에 눈이 휘둥그레졌어. 
Chat_Happening_SHOPPING |= 불필요한 물건을 사려고.
Chat_Happening_SHOPPING |= 나 자신을 치료하러 가지. 버터, 밀가루, 계란, 강 송어. 어묵을 만들고 있어.

Chat_Happening_SHOPPING[P] |= 사랑하는 여신을 위한 선물을 사러 가게에 가고 있어.
Chat_Happening_SHOPPING[P] |= 생필품을 사야겠어.
Chat_Happening_SHOPPING[P] |= 제물이 조금 부족해서 더 사러 가야겠어.
Chat_Happening_SHOPPING[P] |= 여신이 나에게 쇼핑 요법이 필요하다고 속삭였어. 나는 꼬리가 없으니 대신 쇼핑을 하러 가야겠다.

Chat_Happening_SHOPPING[J] |= 나는 예쁜 간식을 사러 갈 거야. 생필품이지!
Chat_Happening_SHOPPING[J] |= 새 창문이 필요하다면 윈도우 쇼핑만큼 좋은 게 없지!
Chat_Happening_SHOPPING[J] |= 이 쇼핑 목록에서 몇 가지를 사야겠어. 그리고 이 목록에 없는 물건도 몇 개 살거야!
Chat_Happening_SHOPPING[J] |= 나는 쇼핑을 좋아하고 매장에 뭐가 있는지 보는 것을 좋아해.

Chat_Happening_SHOPPING[B] |= 나는 나에게 익숙한 명품에 더 많은 돈을 쓸거야.
Chat_Happening_SHOPPING[B] |= 아주 특별한 사람을 위한 선물을 사야 해. 바로 나!
Chat_Happening_SHOPPING[B] |= 물질적 이득과 과시를 통해 내 모든 돈과 성공을 정당화해야 하기 때문에 쇼핑을 하고 있지.
Chat_Happening_SHOPPING[B] |= 나는 상점에 갈 예정이야. 상점을 살 수도 있고.

Chat_Happening_SHOPPING[Q] |= 그냥 가게에 들른 거야. 돼지에게 가스 찬 사과를 주려는 게 아니라.
Chat_Happening_SHOPPING[Q] |= 내년에 잊어버린 생일 선물을 사야 하거든. 어떻게 해야 할지 모르겠네.
Chat_Happening_SHOPPING[Q] |= 내 팔 길이만큼이나 긴 쇼핑 목록이 있어. 나는 손글씨가 크고 팔이 짧아서 목록에 두 가지 품목이 있지.
Chat_Happening_SHOPPING[Q] |= 할인이 진행 중인가? 나는 좋은 할인을 좋아해. 나쁜 할인도 좋아하지. 난 그냥 할인이 좋아!

Chat_Happening_SHOPPING[C] |= 쇼핑 중인데 원하는 상품이 재고가 없을 것 같아.
Chat_Happening_SHOPPING[C] |= 잡동사니를 좀 사야 하는데 줄서는 걸 싫어해. 스트레스로 생긴 주름보다 줄이 더 길어.
Chat_Happening_SHOPPING[C] |= 요즘 물가를 보셨나? 인플레이션 농담은 다른 데서 쓰는 거라 못 쓰겠어!
Chat_Happening_SHOPPING[C] |= 쇼핑을 정말 좋아하지 않지만 쇼핑은 해야 해. 하지만 나는 브라스로 만들어지지 않았기 때문에 선물을 사지 않을 거야. 나는 고기로 만들어졌으니까.

Chat_Happening_WORSHIP |= 막 제물을 바치려던 참이야.
Chat_Happening_WORSHIP |= 예배할 준비가 다 됐어.
Chat_Happening_WORSHIP |= 축복을 받으러 가는 중이야!
Chat_Happening_WORSHIP |= 공정한 여신을 숭배하는 건, 안 그러면 도룡뇽이 될지도 모르니까.

Chat_Happening_WORSHIP[P] |= 내가 하루 중 가장 좋아하는 시간이야. 예배 시간!
Chat_Happening_WORSHIP[P] |= 나는 하루 중 이 시간을 가장 좋아해. 말 그대로. 예배 시간이야.
Chat_Happening_WORSHIP[P] |= 모두가 나처럼 우리를 인도하는 이들에게 경의를 표해야 하지. 아니, 태터웨이가 아니라! 여신님들!
Chat_Happening_WORSHIP[P] |= 나는 지금 이 지역의 여신상에게 경의를 표하러 가는 중이야. 고대어로 '옛날부터 사용하던 물건'이라는 뜻이지. 그런 것 같아.

Chat_Happening_WORSHIP[J] |= 예배 시간이야! 천상의 숙녀분들께 선물을 드리는 게 너무 좋아!
Chat_Happening_WORSHIP[J] |= 아, 예배를 드리려고. 감사 인사도 하고 축복도 받으니 좋네.
Chat_Happening_WORSHIP[J] |= 예배 시간이야. 나는 개인적으로 우리를 지켜보는 사람들에게 감동을 주기 위해 약간의 춤을 추는 것을 좋아해.
Chat_Happening_WORSHIP[J] |= 나와 함께 춤을 추자! 우리가 사랑하는 여신들을 축하할 시간이야!

Chat_Happening_WORSHIP[B] |= 내가 준비한 고급 선물을 여신들께 드리려고.
Chat_Happening_WORSHIP[B] |= 나는 항상 여신들에게 큰 호의를 받는 것 같아. 나를 좋아하나 봐.
Chat_Happening_WORSHIP[B] |= 여신들에게 무엇을 바쳐? 나처럼 5 별 아이템?
Chat_Happening_WORSHIP[B] |= 가끔은 사람들이 나를 숭배해야 한다고 생각해!

Chat_Happening_WORSHIP[Q] |= 예배할 시간이야. 나는 1번부터 알파벳 순서대로 예배를 드리는 것을 좋아해.
Chat_Happening_WORSHIP[Q] |= 무엇을 드릴거야? 헌금을 하려고 하는데 왼쪽 주머니에 있는 것과 오른쪽 주머니에 찌그러져 있는 것 중 무엇을 할지 결정할 수가 없네.
Chat_Happening_WORSHIP[Q] |= 나는 예배 모드야. 선택의 여지가 없어. 나는 그렇게 설계되었으니까.
Chat_Happening_WORSHIP[Q] |= 제물을 바칠 때 여신이 속삭이는 소리가 들려? "******* 물약을 ******* 제물 그릇에 넣어라!"라고 말하는 소리가 들리는 것 같아. 그런 다음 양이 끙끙거리는 소리 외에는 완전한 침묵이야.

Chat_Happening_WORSHIP[C] |= 예배할 때 무릎을 꿇어야 할까? 내 관절이 고목처럼 삐걱거려.
Chat_Happening_WORSHIP[C] |= 막 제물을 바치려던 참이야. 다시 비참한 늙은 퍽이 되라는 저주를 받을 것 같아.
Chat_Happening_WORSHIP[C] |= 예배를 드리러 가고 있어. 별로 돌아오는 게 없는 것 같아! 왜 하는지 모르겠어.
Chat_Happening_WORSHIP[C] |= 내 무릎이 불편해도 아랑곳하지 않는 이들에게 경의를 표하는 즐거운 시간.

Chat_Happening_OFFERING |= 우리 집이 평안하고 복되게 지낼 수 있도록 제물을 바치는 중이야.

Chat_Happening_OFFERING[Spouse] |= 우리 집이 평안하고 복되게 지낼 수 있도록 제물을 바치는 중이야.
Chat_Happening_OFFERING[Spouse] |= 예배시간. 우리가 사랑하는 여신들의 정신을 묵상하고 포용하고 싶어.
Chat_Happening_OFFERING[Spouse] |= 지금 예배를 드리고 있어. 초월적 조화를 방해하지 말아줘.
Chat_Happening_OFFERING[Spouse] |= 브라우니가 내 슬리퍼에 개미를 넣지 못하도록 이 그릇에 좋은 것을 채우고 있었어.

Chat_Happening_OFFERING[OwnKid] |= 저는 포트 아저씨의 큰 그릇에 물건을 넣을 거예요.
Chat_Happening_OFFERING[OwnKid] |= 포트 아저씨에게 제물을 바치라고 했죠?
Chat_Happening_OFFERING[OwnKid] |= 사랑스러운 포트 아저씨를 위해 저 그릇에 물건을 넣고 있어요.
Chat_Happening_OFFERING[OwnKid] |= 제물 시간! 만세!

Chat_Happening_OFFERING[OwnKidAdult] |= 수호자에게 경의를 표할거에요.
Chat_Happening_OFFERING[OwnKidAdult] |= 우리를 살아있게 하고 인간의 형태로 유지하게 하는 제물을 바치려고 해요.
Chat_Happening_OFFERING[OwnKidAdult] |= 그냥 큰 그릇에 음식 좀 넣을게요.
Chat_Happening_OFFERING[OwnKidAdult] |= 저는 그릇 옆에서 명상하고 페이족에게 회비를 지불하러 갈 거예요.

Chat_Happening_COOK |= 맛있는 식사를 준비하고 있어.
Chat_Happening_COOK |= 맛있는 파이를 만들고 있었어. 정확히 말하면 3.4인치 크기야.
Chat_Happening_COOK |= 최고급 재료만을 사용하여 멋진 간식을 만들고 있어.
Chat_Happening_COOK |= 엄마가 만들어주던 것처럼 요리를 하고 있어. 철판 케이크와 화장한 소시지.

Chat_Happening_COOK[P] |= 아름답고 배고픈 여신을 위해 특별한 요리를 만들고 있어.
Chat_Happening_COOK[P] |= 경건은 마음에서 시작된다고 하지만, 경건해질 수 있는 에너지는 뱃속에서 시작되지.
Chat_Happening_COOK[P] |= 다음 제물을 위해 간단한 음식을 굽고 있어.
Chat_Happening_COOK[P] |= 건강에 좋은 음식을 만들려고.

Chat_Happening_COOK[J] |= 그냥 내 배를 위해 맛있는 음식을 만들고 있어!
Chat_Happening_COOK[J] |= 난 그냥 요리하는 게 좋아! 내가 가장 좋아하는 것은 손가락으로 케이크 믹스를 긁어내는 거야.
Chat_Happening_COOK[J] |= 맛있는 요리를 만들어!
Chat_Happening_COOK[J] |= 배고픈 요정들을 만족시킬 맛있는 음식을 만들고 있어.

Chat_Happening_COOK[B] |= 내가 만드는 이 요리는 내 기준에서도 특별할거야.
Chat_Happening_COOK[B] |= 지금 누구도 맛보지 못한 최고의 음식을 굽고 있어.
Chat_Happening_COOK[B] |= 내 토스트를 자랑하고 싶어.
Chat_Happening_COOK[B] |= 내 좋은 위장을 위해 훌륭한 식사를 준비하고 있어. 씹을 필요도 없을 정도로 좋은 음식을.

Chat_Happening_COOK[Q] |= 뭐, 먹을 것을 바스락거리고 있어. 이 종이를 풀 수 있게 되면 안에 있는 것을 먹어야겠어.
Chat_Happening_COOK[Q] |= 한 번도 해보지 않은 일을 시도하고 있어. 식용 요리.
Chat_Happening_COOK[Q] |= 물러서, 스토브에 불을 붙여야 해. 지난번에는 눈썹에 불이 붙었어.
Chat_Happening_COOK[Q] |= 으깬 감자에 라벨을 붙여야 해. 해시태그가 필요해! 농담이야, 감자는 존재하지 않아.

Chat_Happening_COOK[C] |= 난 완전히 끓이고 있어. 이번에는 요리라는 의미에서 말이야.
Chat_Happening_COOK[C] |= 영양을 공급하려고 하는데, 내 요리에는 약국 차트에 없는 비타민이 들어 있어.
Chat_Happening_COOK[C] |= 내 요리가 너무 맛없어서 바퀴벌레도 돌려보내지. 바게스트의 이빨도 부러뜨릴 수 있어.
Chat_Happening_COOK[C] |= 요리는 왜 이렇게 지루할까? 그리고 그 모든 수고로움 때문에 한 시간 동안 플롭퍼에 시간을 보낼 수 있지.

Chat_Happening_COOK[Spouse] |= 나는 요리를 조금 즐기는 편이야. 냄새를 좋아해. 집이 아늑하게 느껴지잖아.
Chat_Happening_COOK[Spouse] |= 꾸르륵거리는 배를 위해 요리를 준비하고있어.
Chat_Happening_COOK[Spouse] |= 맛있는 간식을 만들고 있어.
Chat_Happening_COOK[Spouse] |= 음식이나 손가락을 태우지 않으려고 노력중이야.

Chat_Happening_COOK[OwnKid] |= 이걸 해야 해요? 위험해 보여요!
Chat_Happening_COOK[OwnKid] |= 저는 칼을 가지고 놀고 물건을 자르는 걸 좋아해요.
Chat_Happening_COOK[OwnKid] |= 요리를 하고 싶어요!
Chat_Happening_COOK[OwnKid] |= 요리 중이에요! 다시는 아무것도 태우지 않겠다고 약속할게요.

Chat_Happening_COOK[OwnKidAdult] |= 저는 지금 맛있는 음식을 만들고 있어요. 제가 가진 인생 기술 중 하나죠.
Chat_Happening_COOK[OwnKidAdult] |= 제가 하는 일 냄새 안 나세요? 파인쉐이드에서는 분명 냄새를 맡을 수 있을 거예요!
Chat_Happening_COOK[OwnKidAdult] |= 지시에 따라 먹을 것을 만들고 있어요. 한 번 해볼래요?
Chat_Happening_COOK[OwnKidAdult] |= 일상의 고민을 잊는 데는 멋진 요리만큼 좋은 것이 없죠.

Chat_Happening_OUTHOUSE |= 잠깐만 놀러갈게.
Chat_Happening_OUTHOUSE |= 이교도에게 어울리는 자연의 긴급한 부름을 받았어.
Chat_Happening_OUTHOUSE |= 그냥 나 자신을 되살리려고. 릴리브라니까! 그게 바로 환생이지!
Chat_Happening_OUTHOUSE |= 정보가 너무 많은데 똥이 마려워.

Chat_Happening_OUTHOUSE[P] |= 나쁜 기운을 없애는 동안 실례 좀 할게.
Chat_Happening_OUTHOUSE[P] |= 여신이 가장 하급품을 제물로 바치라고 하셨어.
Chat_Happening_OUTHOUSE[P] |= 장을 비우면서 자연과 하늘과 여신을 생각하겠어.
Chat_Happening_OUTHOUSE[P] |= 화장실에 다녀와야 하니까 예배를 잠시 보류해야지.

Chat_Happening_OUTHOUSE[J] |= 난 로그 씨가 가족과 재회할 수 있도록 도와주러 갈게.
Chat_Happening_OUTHOUSE[J] |= 화장실에 앉아있는 걸 좋아해. 화장실은 천재적인 아이디어와 멋진 게임을 생각하기에 좋은 장소야.
Chat_Happening_OUTHOUSE[J] |= 5가 너무 좋아! 숫자 2와 1이 두 개야.
Chat_Happening_OUTHOUSE[J] |= 너무 웃어서 오줌이 마려울 때가 많아. 그래서 화장실에 다녀올게!

Chat_Happening_OUTHOUSE[B] |= 내 화장실 변기는 갈색 벨벳 시트인데, 예전에는 보라색이었던 게 후회되긴 해.
Chat_Happening_OUTHOUSE[B] |= 다른 사람들 집보다 더 큰 화장실을 만들 계획이야.
Chat_Happening_OUTHOUSE[B] |= 화장실에 사치를 부릴 수는 없잖아? 나는 최고급 변기만을 사용하지.
Chat_Happening_OUTHOUSE[B] |= 맛있는 음식을 너무 많이 먹은 것 같아서 이제 내 질 좋은 장에 휴식을 좀 줘야겠어.

Chat_Happening_OUTHOUSE[Q] |= 나는 지금 굉장한 일을 겪고 있어. 사실, 뱃속이 울리는 중이야.
Chat_Happening_OUTHOUSE[Q] |= 화장실에 가서 음계 연습을 해야지.
Chat_Happening_OUTHOUSE[Q] |= 조금 전에 큰 소리가 들렸다면 그건 분명 오기르가 킁킁거리는 소리였을거야.
Chat_Happening_OUTHOUSE[Q] |= 화장실에서 브루니를 본 적이 있어. 그런 종류가 아니었! 요정족이었다고!

Chat_Happening_OUTHOUSE[C] |= 또 배탈이 났어. 아마 몇 시간 동안은 변소에 있어야 할 것 같아.
Chat_Happening_OUTHOUSE[C] |= 변기가 차갑지 않았으면 좋겠어.
Chat_Happening_OUTHOUSE[C] |= 화장실에 가기 싫어요, 특히 쐐기풀 휴지가 있으면 더더욱.
Chat_Happening_OUTHOUSE[C] |= 괜찮다면 화장실 좀 다녀올게.

Chat_Happening_FNFWORKER |= 바빠! 바빠! 지금은 말할 수 없어!
Chat_Happening_FNFWORKER |= 망치질 중이야. 잘하고 있어.
Chat_Happening_FNFWORKER |= 이 프로젝트에 몰두하고 있어.
Chat_Happening_FNFWORKER |= 톱밥 냄새와 열심히 일하는 소리.
Chat_Happening_FNFWORKER |= 많은 것을 짓고 있지.
Chat_Happening_FNFWORKER |= 설정한 작업을 잘 진행하고 있어.
Chat_Happening_FNFWORKER |= 이 흥미로운 프로젝트 때문에 바빠.

Chat_Happening_FNFWORKER[P] |= 그냥 스트레칭하고 물 한 모금 마시고 있어. 힘들고 목이 마른 일이야.
Chat_Happening_FNFWORKER[P] |= 못을 좀 박아야 하는데, 안 그러면 코가 석자나 다름없어.
Chat_Happening_FNFWORKER[P] |= 창조의 장엄함이 일어나고 있어!
Chat_Happening_FNFWORKER[P] |= 운율에 따라 무슨 일이 일어나고 있는지 알 수 있어: 나무와 돌, 가죽과 뼈가 모여 구조물을 만들고 집을 만들지. 멋지지 않아?
Chat_Happening_FNFWORKER[P] |= 나는 일하면서 여신을 기리는 감사의 노래를 흥얼거리고 있어.
Chat_Happening_FNFWORKER[P] |= 여신을 기리는 또 다른 건축물이 만들어지고 있지.
Chat_Happening_FNFWORKER[P] |= 축복받은 일을 하고 있어.

Chat_Happening_FNFWORKER[Q] |= 이 고된 일에 지친 몸을 재충전하기 위해 잠시 낮잠을 잤어.
Chat_Happening_FNFWORKER[Q] |= 9시부터 6시까지 일하고 있지. 생계를 유지하기 위한 방법이야.
Chat_Happening_FNFWORKER[Q] |= 이 구조가 엘프와 안전 요건을 준수하는지 확인하는 것뿐이야.
Chat_Happening_FNFWORKER[Q] |= 히블립이 계속 못을 훔쳐가! 철이 부족해서 그런가 봐!
Chat_Happening_FNFWORKER[Q] |= 이 두비다의 쐐기를 다시 조정하고 있어. 나도 모르겠어.
Chat_Happening_FNFWORKER[Q] |= 내 톱을 찾고 있어. 마지막으로 어디에 뒀는지 기억이 나지 않는데, 단어가 뭐였지?
Chat_Happening_FNFWORKER[Q] |= 샌드위치를 먹을 시간인지 아닌지 혼자 고민하고 있었어. 샌드위치 타임이라고 결정했지.
Chat_Happening_FNFWORKER[Q] |= 망치를 갈고 있을게.

Chat_Happening_FNFWORKER[J] |= 이 건축에서 좋은 진전을 보이고 있어.
Chat_Happening_FNFWORKER[J] |= 글쎄, 네가 나타나서 질문하기 전까지는 슬쩍 쉬려고 했어 (윙크)
Chat_Happening_FNFWORKER[J] |= 방금 니스칠을 했으니, 이제 니스칠을 하러 갈게.
Chat_Happening_FNFWORKER[J] |= 내 좋은 친구를 위한 건축.
