STORYTASK_NPCSTORY_STEP_2_DESC |= Return to {TASKGIVERNAME}에게 돌아가 과제를 완료합니다.
STORYTASK_NPCSTORY_ASH_BROWN_FRIENDLY |= 나는 최근 다양한 버그를 더 많이 찾아내느라 정말 바빴어. 나는 버그 수집광이라고 할 수 있지. 언젠가 내 설레는 비밀을 모두 공유할 수 있을지도 모르겠네!
STORYTASK_NPCSTORY_ASH_BROWN_LIKE |= What got me into bug collecting? Well, it all stems back from when I was a little child. I can't have been more than four at the time, but I remember it like it was a few years ago. I was dipping my hands into porridge when a moth landed on my nose. It was the most beautiful shimmering green, and I went cross-eyed, staring at it.
STORYTASK_NPCSTORY_ASH_BROWN_LIKE |= I then grabbed it and ate it.
STORYTASK_NPCSTORY_ASH_BROWN_LIKE |= Since then, I have had an obsession with insects. I love to collect, identify, log, and sometimes snack on them. I do not recommend snacking, though - insects are meant to be for your dyes only!
STORYTASK_NPCSTORY_ASH_BROWN_NAME |= Get Abdo-Mend for Ash
STORYTASK_NPCSTORY_ASH_BROWN_DESC |= Get Abdo-Mend for Ash. This can be obtained from any good Apothecary or crafted in one.
STORYTASK_NPCSTORY_ASH_BROWN_START |= Oh, hello. As you are now my most cherished friend, I need your help. I captured a bug I hadn't seen before, and after I had noted it down and drawn it, I ate it. Unfortunately, it has made me rather ill. Could you somehow get your hands on an Abdo-Mend powder?
STORYTASK_NPCSTORY_ASH_BROWN_END |= Oh, that's so much better. Thank you, <PlayerName>. My bug-collecting days are over, sadly. The hallucinations I had from eating that last one made me never want to touch any more again. Such an incident shows how life can change from the littlest moments. It was a warning from Morvenna for trying to catch something forbidden. Lesson learned. Thank you, my dear friend.
STORYTASK_NPCSTORY_MILLY_COWE_FRIENDLY |= Are you now my friend? Does that mean we will be married one day? Ha! How disgusting! You've got a face like a cow bottom. Upside down. But you are Ok as far as upside-down cow buttfaces go.
STORYTASK_NPCSTORY_MILLY_COWE_LIKE |= Did you know I have another brother? Ssshhh, I can't say who. I heard Mum talking about it, but I don't want to say in case the same happens to me!
STORYTASK_NPCSTORY_MILLY_COWE_NAME |= Make Strawberry Jam for Milly
STORYTASK_NPCSTORY_MILLY_COWE_DESC |= Make Strawberry Jam for Milly. Collect the relevant berries and honey and use your stove.
STORYTASK_NPCSTORY_MILLY_COWE_START |= I want to marry you! Ha! Not really. It's possible, though, maybe. You are not as ugly as a cow bum, really. Maybe you should prove how great you are by making me a lovely Strawberry Jam. The better it is, the more I will like you!
STORYTASK_NPCSTORY_MILLY_COWE_END |= Thanks for that! I love jam so much. It's as sweet as you. And you really should try to find out more from Mum about my brother, if you haven't already!
STORYTASK_NPCSTORY_ROSIE_CRUST_FRIENDLY |= Oh, my little ham sandwich! You are such a lovely crumble!
STORYTASK_NPCSTORY_ROSIE_CRUST_FRIENDLY |= I get a lot of attention, you know, for my baps and pies?
STORYTASK_NPCSTORY_ROSIE_CRUST_FRIENDLY |= Finn could never keep his hands off my goods.
STORYTASK_NPCSTORY_ROSIE_CRUST_FRIENDLY |= Oh, bless me! Your little face has gone redder than a tart.
STORYTASK_NPCSTORY_ROSIE_CRUST_FRIENDLY |= Best let you get on with your day, or there'll be thoughts of sticky pudding and jam roly poly!
STORYTASK_NPCSTORY_ROSIE_CRUST_LIKE |= I do love me a bit of crumpet, and you are definitely one of those. Haha!
STORYTASK_NPCSTORY_ROSIE_CRUST_LIKE |= Finn was always jealous if anyone else dared even come near my loaves.
STORYTASK_NPCSTORY_ROSIE_CRUST_LIKE |= He was always a bit of a mummy's boy, but I liked that. He just needs a good smothering. 
STORYTASK_NPCSTORY_ROSIE_CRUST_LIKE |= Did I say smothering? I mean mothering.
STORYTASK_NPCSTORY_ROSIE_CRUST_LIKE |= What happened to your parents, my little wafer biscuit?
STORYTASK_NPCSTORY_ROSIE_CRUST_LIKE |= You don't know? Oh, you poor tiny souffle!
STORYTASK_NPCSTORY_ROSIE_CRUST_LIKE |= Am sure one day you will find out. Best let you get on peachy pie!
STORYTASK_NPCSTORY_ROSIE_CRUST_NAME |= Cook Risquebisque for Rosie
STORYTASK_NPCSTORY_ROSIE_CRUST_DESC |= Cook Risquebisque for Rosie. Use a stove when you have obtained the Recipe from Roger Readily's Heirloom Chest.
STORYTASK_NPCSTORY_ROSIE_CRUST_START |= Have you ever met Roger Readily? He's a glass and a half of full cream milk if I ever saw one!
STORYTASK_NPCSTORY_ROSIE_CRUST_START |= Fit as a baker's dog.
STORYTASK_NPCSTORY_ROSIE_CRUST_START |= He once whispered to me that he has a very saucy recipe hidden away. I would love to get my doughy hands on it! It's called Risquebisque he says.
STORYTASK_NPCSTORY_ROSIE_CRUST_START |= I was wondering, my little onion, if you could somehow seduce him enough to get that recipe off him and then cook me one? He probably has it hidden in his chest... and he has got a nice chest!
STORYTASK_NPCSTORY_ROSIE_CRUST_END |= You made it! You got Roger's recipe! My mind wonders just what you had to go through to get it. Must have been terrible *wink*.
STORYTASK_NPCSTORY_ROSIE_CRUST_END |= I look forward to tasting his goods. Thank you, my little pork pie.
STORYTASK_NPCSTORY_ROSE_THORN_FRIENDLY |= The spirits give me a good feeling about you. And yet, there is also something else. Something intriguing. That's not necessarily bad! Let's say I think you have an interesting soul.
STORYTASK_NPCSTORY_ROSE_THORN_FRIENDLY |= Would you like me to tell you your fortune? Read your palm? Gaze into a crystal ball? Scatter some bones? Horoscope? Water divining? Cup of tea?
STORYTASK_NPCSTORY_ROSE_THORN_FRIENDLY |= Actually, I best not keep you. And I don't do those ancient occult things anyway. I just find you interesting and would like to get to know you more.
STORYTASK_NPCSTORY_ROSE_THORN_LIKE |= When I was a little girl, I found a dead rabbit in a hawthorn bush. I noticed that it had one eye missing; poor mite. I picked it up, took it home and hid it under my bed. Every night I would talk to it and sing to it. I think I hoped it might suddenly wake up.
STORYTASK_NPCSTORY_ROSE_THORN_LIKE |= When my mother found it, she was furious. "It belongs in nature to go back into nature!" she shouted, and she threw it back into the bushes.
STORYTASK_NPCSTORY_ROSE_THORN_LIKE |= A few years later, I heard a noise in the garden and looked out of the window. There was a rabbit sitting looking directly at me. 
STORYTASK_NPCSTORY_ROSE_THORN_LIKE |= I know what you are thinking. Did it have one eye?
STORYTASK_NPCSTORY_ROSE_THORN_LIKE |= No, no it didn't. It ran off.
STORYTASK_NPCSTORY_ROSE_THORN_NAME |= Give Rose a Morwenna Effigy
STORYTASK_NPCSTORY_ROSE_THORN_DESC |= Give Rose a Morwenna Effigy. Find one, win one or buy one.
STORYTASK_NPCSTORY_ROSE_THORN_START |= I have another tale to tell you about when I was a young girl, dear. 
STORYTASK_NPCSTORY_ROSE_THORN_START |= My father would whittle wood to make little effigies to honour the Goddesses. I would play with them on the front step and pretend they were talking and eating together and controlling everything. Father would be sitting in his rocking chair, smoking a pipe, and as the sun set, the long shadows would creep across the garden.
STORYTASK_NPCSTORY_ROSE_THORN_START |= Idyllic times.
STORYTASK_NPCSTORY_ROSE_THORN_START |= I still have the wooden effigies in my keepsake box, but one is missing. Morwenna, Goddess of Beasts. If you could help me get one, I would truly know your spirit is true.
STORYTASK_NPCSTORY_ROCK_SALT_FRIENDLY |= OK, I will be your friend, but I am not the kind of man for nonsense.
STORYTASK_NPCSTORY_ROCK_SALT_FRIENDLY |= However, it could be good business in the long run, and you seem dependable.
STORYTASK_NPCSTORY_ROCK_SALT_FRIENDLY |= I can tell you have a business soul. I am sure one day you will be running an empire that spans from over there to beyond that tree over there.
STORYTASK_NPCSTORY_ROCK_SALT_LIKE |= 공짜로 알려주지. 넌 퀼의 소금 같은 존재야. 그게 내가 내 브라스를 만든 방법이야. 채광 소금, 구리, 주석 세상이 좀 더 평온하고 현명한 사람들이 사방에 널려 있던 전성기 시절이었지. 드루이드, 현자, 구루들. 좋은 친구들이 많았고, 그들은 내가 가진 것을 많이 사주었을 뿐만 아니라 소문을 퍼뜨리는 데 도움을 주었지.
STORYTASK_NPCSTORY_ROCK_SALT_LIKE |= Slowly, they became less and less, so I cashed in and retired as a rich man.
STORYTASK_NPCSTORY_ROCK_SALT_LIKE |= I do miss the scratch of quill on parchment and the way the brass scales shone by candlelight as I did the accounts.
STORYTASK_NPCSTORY_ROCK_SALT_NAME |= Buy any business
STORYTASK_NPCSTORY_ROCK_SALT_DESC |= Buy any business. Interact with the Ledger on the counter of any Smithy, Goods Store or Apothecary.
STORYTASK_NPCSTORY_ROCK_SALT_START |= I have a proposition for you now that we are pretty much business partners, but without the business. If I gave you the money, could you buy a shop and run it for a day? I want to see just how good you are and if there is money to be made.
STORYTASK_NPCSTORY_ROCK_SALT_START |= I have Brass to spare, so it is pocket change, and I believe you have what it takes to enter the dragon's den, not as an apprentice and be a success.
STORYTASK_NPCSTORY_ROCK_SALT_START |= Report back to me the day after, and let's see where it's at.
STORYTASK_NPCSTORY_ROCK_SALT_END |= Hmmm, interesting accounts. It's not a viable concern, really. I think mining is where it's at.
STORYTASK_NPCSTORY_ROCK_SALT_END |= Keep the shop if you wish, or sell it. 
STORYTASK_NPCSTORY_ROCK_SALT_END |= I have a new little secret hobby anyway to flitter away my pennies. Animals races! Just got to love battling the odds, working out the form and gauging everything from mood to mud to wind speed.
STORYTASK_NPCSTORY_ROCK_SALT_END |= Anyway, thanks again. You are a good investment.
STORYTASK_NPCSTORY_NERYS_NAIL_FRIENDLY |= Yes! A new friend! I love collecting friends like I do nail polish.
STORYTASK_NPCSTORY_NERYS_NAIL_FRIENDLY |= I bet you think it's strange that I work here and I am nothing like a blacksmith?
STORYTASK_NPCSTORY_NERYS_NAIL_FRIENDLY |= I told my father that I wanted to work with nails, and he said I should try here. I didn't know it was a blacksmith's til I got accepted by Hannah.
STORYTASK_NPCSTORY_NERYS_NAIL_FRIENDLY |= I meant fingernails!
STORYTASK_NPCSTORY_NERYS_NAIL_FRIENDLY |= If only we could combine the forge with some sort of manicure shop. The dream.
STORYTASK_NPCSTORY_NERYS_NAIL_LIKE |= Do you think my hair looks good? Hannah says it always looks really shiny and healthy. I think it must be due to where I grew up as a kid.
STORYTASK_NPCSTORY_NERYS_NAIL_LIKE |= I am the daughter of a family from Pineshade up in the north, you see? Around there, it is all beautiful scented pine trees and clusters of fragrant wildflowers. I would forage and use what I could find to make beautiful shampoos.
STORYTASK_NPCSTORY_NERYS_NAIL_LIKE |= My hair seems to have survived the smoky forge, so it must be top quality, don't you think? All those shampoos!
STORYTASK_NPCSTORY_NERYS_NAIL_LIKE |= I used to visit my parents up there and forage, but when the bridge to the north collapsed, I couldn't get to see them. I heard a dragon did it, and nobody dared fix it.
STORYTASK_NPCSTORY_NERYS_NAIL_LIKE |= I bet its breath is not as hot as Hannah's forge!
STORYTASK_NPCSTORY_NERYS_NAIL_NAME |= Get Pink dye for Nerys
STORYTASK_NPCSTORY_NERYS_NAIL_DESC |= Get Pink dye for Nerys. You can buy it or win it from places you must discover yourself!
STORYTASK_NPCSTORY_NERYS_NAIL_START |= You are a real sweetie, and I feel like we really connect, don't you think?
STORYTASK_NPCSTORY_NERYS_NAIL_START |= I tell you what would really make me love you lots more - colours!
STORYTASK_NPCSTORY_NERYS_NAIL_START |= I love making dyes, but I am missing a beautiful pink colour. If you could ever get me a bottle of pink dye, I would be over the Moon God.
STORYTASK_NPCSTORY_NERYS_NAIL_END |= Woah! It's amazing! Pink to make the boys wink! It's to dye for!
STORYTASK_NPCSTORY_NERYS_NAIL_END |= Smells like nothing else in Quill, too. 
STORYTASK_NPCSTORY_NERYS_NAIL_END |= I would love to open a shop selling dyes, but Hannah has been so kind to me, so I don't want to let her down.
STORYTASK_NPCSTORY_NERYS_NAIL_END |= Thank you, wonderful, wonderful you!
STORYTASK_NPCSTORY_KANE_HINES_FRIENDLY |= Aren't dogs great? You seem friendly, but dogs always have a wag of the tail and a large amount of drool ready when they see you.
STORYTASK_NPCSTORY_KANE_HINES_FRIENDLY |= Did you know that the Goddess Morwenna has a pet dog? 
STORYTASK_NPCSTORY_KANE_HINES_FRIENDLY |= I could tell you all kinds of dog facts. I would invite you to an evening of dog lectures, but I don't like having people in the house - just dogs.
STORYTASK_NPCSTORY_KANE_HINES_LIKE |= You must think I am a crazy dog-man. Well, I am crazy for dogs and a man.
STORYTASK_NPCSTORY_KANE_HINES_LIKE |= I heard there was a lady in your Vale who was cool for cats. It sounds like she would like a friendly squeeze. Or is it a hug? I am not very good when it comes to that sort of thing.
STORYTASK_NPCSTORY_KANE_HINES_LIKE |= I just know how to give the dog a bone.
STORYTASK_NPCSTORY_KANE_HINES_NAME |= Give Kane 10 bones
STORYTASK_NPCSTORY_KANE_HINES_DESC |= Give Kane 10 bones. Get a dog and a shovel and dig up digspots to try find them.
STORYTASK_NPCSTORY_KANE_HINES_START |= I like you more than any other human I have talked to, which is not many. Do you have any bones? I could do with stocking up. About ten will do.
STORYTASK_NPCSTORY_KANE_HINES_START |= It would show me you really care for dogs. You know how to get them, don't you? Dig them up. You need a dog and a shovel of course.
STORYTASK_NPCSTORY_KANE_HINES_END |= Those are good bones.
STORYTASK_NPCSTORY_KANE_HINES_END |= I never told anyone this, but I was rescued by a dog when I was a little boy. We were on a picnic, and I crawled into a rabbit hole, and nobody could find me. Then a man was walking past with a dog, and the dog found me and dragged me out of the hole. 
STORYTASK_NPCSTORY_KANE_HINES_END |= All I really remember is my mother saying, "Thank you, wee lassie".
STORYTASK_NPCSTORY_KANE_HINES_END |= My parents then bought a dog to help protect me. We called it Cuckoo Joe. My Dad Stephen said it was the king of all dogs. I just remember asking what a king was.
STORYTASK_NPCSTORY_IVY_WEED_FRIENDLY |= It's wonderful to know you. Herbie and I do love connecting with the right kind of people.
STORYTASK_NPCSTORY_IVY_WEED_FRIENDLY |= I met him a few years ago when I found him dancing whilst some bemused mice watched on. So I sat and watched myself for a while, and he eventually climbed a tree and fell asleep.
STORYTASK_NPCSTORY_IVY_WEED_FRIENDLY |= I just love his free spirit. He wants to just connect to nature and expand his mind. He might not be the sharpest sacrificial knife in the cupboard, and he looks like he hasn't slept for 400 years, but he has character and a lot to give.
STORYTASK_NPCSTORY_IVY_WEED_LIKE |= Do you ever dream of seeing inside Opal? It must be so beautiful there. Some believe the walls are all jewels, and there are fountains of nectar. 
STORYTASK_NPCSTORY_IVY_WEED_LIKE |= Herbie thinks if he can concoct the right potion or powder, then he might be able to peek inside. He says Opal isn't a physical place. I hope he is careful and doesn't travel somewhere he can't get back from.
STORYTASK_NPCSTORY_IVY_WEED_NAME |= Take Ivy to Tir Na Nog
STORYTASK_NPCSTORY_IVY_WEED_DESC |= Take Ivy to Tir Na Nog. Use the Follow command on interact and take her to the sparkling circles in that realm.
STORYTASK_NPCSTORY_IVY_WEED_START |= I dream of travelling to places that are just so magical that they leave a mark on your mind forever. I want to go to these places in reality, though, not in the mind.
STORYTASK_NPCSTORY_IVY_WEED_START |= Do you know anywhere we can go? Could you take me on a tour of somewhere magical?
STORYTASK_NPCSTORY_IVY_WEED_END |= Thank you for sharing that dream with me. I know it wasn't real, but it felt so tangible. I had an amazing time wherever that was. I will see it every time I close my eyes. Thank you.
NPCSTORY_IVY_WEED_LINE_1 |= That is a very pretty lantern. The light from it seems to bounce around my soul.
NPCSTORY_IVY_WEED_LINE_2 |= This place is dark and mysterious. What flora! There are mushrooms here that Herbie would love!
NPCSTORY_IVY_WEED_LINE_3 |= This is so pretty. I love the waterfalls and pink ponds and huge trees and the colours of everything.
NPCSTORY_IVY_WEED_LINE_4 |= What is that? It's so cute! Oh, this place is amazing!
STORYTASK_NPCSTORY_HERBIE_WEED_FRIENDLY |= Woah, man! Good vibes!
STORYTASK_NPCSTORY_HERBIE_WEED_FRIENDLY |= It reminds me of that time I fell asleep in a rainbow mushroom patch. I woke up, and all the trees were really friendly. I danced with some fieldmice, and they made me a hat from cobwebs.
STORYTASK_NPCSTORY_HERBIE_WEED_FRIENDLY |= It was, like, amazing. 
STORYTASK_NPCSTORY_HERBIE_WEED_FRIENDLY |= That's when I met Ivy. She found me upside down in a tree, asleep.
STORYTASK_NPCSTORY_HERBIE_WEED_FRIENDLY |= I told her what happened, and she told me all about the effects of certain fungi.
STORYTASK_NPCSTORY_HERBIE_WEED_FRIENDLY |= That's when I knew I had to marry her, and from that, we made a business using her knowledge of medicinal plants and my ability to test the results without exploding.
STORYTASK_NPCSTORY_HERBIE_WEED_LIKE |= I like you, man. You remind me of me before I developed a taste for exploring the realms of expansive thought.
STORYTASK_NPCSTORY_HERBIE_WEED_LIKE |= Do you think there are civilisations that dwell in the depths of our thoughts? Imagine that, a village of beings hiding away beyond the edges of consciousness, feeding off our imagination.
STORYTASK_NPCSTORY_HERBIE_WEED_LIKE |= I also think the world is shaped like a mushroom, and we live on top of it. I would love for the Goddesses to reach down and pick me up so I can see what Quill looks like from up there.
STORYTASK_NPCSTORY_HERBIE_WEED_NAME |= Get a rainbow mushroom for Herbie
STORYTASK_NPCSTORY_HERBIE_WEED_DESC |= Get a rainbow mushroom for Herbie. These can be found growing around the world. Use your Proverbs section in the inventory if you need help.
STORYTASK_NPCSTORY_HERBIE_WEED_START |= I think I might be able to view the land from the sky. However, it requires a high-quality rainbow mushroom. Do you think you could get me one? The ones I find are just not up to snuff.
STORYTASK_NPCSTORY_HERBIE_WEED_START |= A 4 or 5-star I think, could propel me into the stars.
STORYTASK_NPCSTORY_HERBIE_WEED_END |= Wow! Thanks, man! You are a steadfast supporter of the chemical arts. 
STORYTASK_NPCSTORY_HERBIE_WEED_END |= Keep your eyes on the skies and see if you can see my mind swimming up there.
STORYTASK_NPCSTORY_HANNAH_HAMMER_FRIENDLY |= Are you trying to befriend me because you like being around strong women?
STORYTASK_NPCSTORY_HANNAH_HAMMER_FRIENDLY |= I come from a long line of powerful smiths. I am convinced I am a descendant of The Wright, one of the Grandmasters. And fables of old tell of a strong woman called Hammer who quested with some hero in a realm far away. I changed my surname in her honour.
STORYTASK_NPCSTORY_HANNAH_HAMMER_LIKE |= Do you want to know the riddle of steel?
STORYTASK_NPCSTORY_HANNAH_HAMMER_LIKE |= Flesh ages and withers. Steel becomes weak. True strength comes from within you. A sword can cut through flesh, but a hand must wield the sword. Without the iron will to grasp the sword and be prepared to cut through flesh, then they are nothing.
STORYTASK_NPCSTORY_HANNAH_HAMMER_LIKE |= I don't fight monsters, but I do fight the demons of the mind. Every day I hammer at the anvil, and each blow is my way of showing my strength. Smithing is in my blood, and my blood is full of iron.
STORYTASK_NPCSTORY_HANNAH_HAMMER_NAME |= Get Shadderwryth for Hannah
STORYTASK_NPCSTORY_HANNAH_HAMMER_DESC |= Get Shadderwryth for Hannah. Shadderwryth is an ore that you must try to locate yourself. Use relevant Proverbs if you need help locating it.
STORYTASK_NPCSTORY_HANNAH_HAMMER_START |= Your friendship glows like my forge. I bet you did not think when you first saw me that I would be so poetic?
STORYTASK_NPCSTORY_HANNAH_HAMMER_START |= Appearances can be deceptive. I may look like I crush diamonds into dust between my shoulder blades but inside is a warm foundry.
STORYTASK_NPCSTORY_HANNAH_HAMMER_START |= Hey! I always want to prove to myself that I am strong, so I have been thinking.
STORYTASK_NPCSTORY_HANNAH_HAMMER_START |= All I seem to work with here is copper, tin, some zinc and iron. I have heard of Fae metals that are not only hard to shape but attempt not to be forged, as though they are alive.
STORYTASK_NPCSTORY_HANNAH_HAMMER_START |= If you ever find any, I would honour your name each morning as I fire up the coals with the bellows. And give you some Brass.
STORYTASK_NPCSTORY_HANNAH_HAMMER_END |= Incredible! Look at how it glimmers. It seems to shift and move as you look at it.
STORYTASK_NPCSTORY_HANNAH_HAMMER_END |= I shall make something beautiful with this.
STORYTASK_NPCSTORY_HANNAH_HAMMER_END |= You have shown me the true strength of friendship.
STORYTASK_NPCSTORY_EDWARD_WOOD_FRIENDLY |= You seem a spirited sort. Like adventuring, do you? I bet you have seen some sights.
STORYTASK_NPCSTORY_EDWARD_WOOD_FRIENDLY |= Me? I like things a bit quiet. A nice simple life. I need to look after Daisy. She's all I have other than my health, my heart and a good solid bed.
STORYTASK_NPCSTORY_EDWARD_WOOD_LIKE |= I wasn't exactly straight with you previously. I might like the quiet life now, but I used to be an adventurer. Yes, I had a sword, and I used it many times when out in Simplewood. Those dark forests are strange places. You go near one, and it's like the trees beckon you in and sing you a wordless song. You get drawn to find out what is in there.
STORYTASK_NPCSTORY_EDWARD_WOOD_LIKE |= I was a pretty good slayer of monsters, and so was my wife. But sadly, she was drawn to Toughwood. I tried to reason with her, but she insisted. I looked after baby Daisy and the wait was awful. She returned but mortally wounded. I vowed revenge but never stepped into the woods again.
STORYTASK_NPCSTORY_EDWARD_WOOD_NAME |= Slay a Night Hag
STORYTASK_NPCSTORY_EDWARD_WOOD_DESC |= Slay a Night Hag. These can be found in Toughwood. It's tough, so watch out!
STORYTASK_NPCSTORY_EDWARD_WOOD_START |= It was the anniversary of my wife's passing recently. I keep wanting to slay a Night Hag in her honour. Well, honour and revenge.
STORYTASK_NPCSTORY_EDWARD_WOOD_START |= If you ever wander into Toughwood and encounter one of those evil witches, please say hello from me, and if you kill it, I will reward you handsomely.
STORYTASK_NPCSTORY_EDWARD_WOOD_END |= You did it? Incredible. That gives me some peace. My wife would surely be thanking you, too, in whatever form she is in now. I hope that witch had a shocked look on her face as you ran her through. You have done a great deed, dear friend.
STORYTASK_NPCSTORY_FINN_CRUST_FRIENDLY |= An honour to meet a fellow fancier of cakes. The soft sponge reminds me of resting my head against my mother's chest and falling asleep. She would wake me with a start. "Finn!" she would cry, "You are 32. Can you stop doing that?"
STORYTASK_NPCSTORY_FINN_CRUST_FRIENDLY |= I think age should be no barrier to enjoying the things that make us comfortable. That's why I married Rosie. She's as soft and spongy as those golden syrupy days gone by.
STORYTASK_NPCSTORY_FINN_CRUST_LIKE |= What got me so into baked goods? Well, it's all nostalgia. That's an ancient word that means 'nose tingles for an age' or something. When you get older, you yearn to be younger. Many things can set off a memory of happier, more innocent times. A smell like baking bread. Hazy sunlight above the wheat late in the afternoon. The trickle of a stream or the feel of something warm to remind you of home and family, and laughter.
STORYTASK_NPCSTORY_FINN_CRUST_LIKE |= I am going to cry! I need a cake cure!
STORYTASK_NPCSTORY_FINN_CRUST_NAME |= Bake a high quality Gummyyum Pie
STORYTASK_NPCSTORY_FINN_CRUST_DESC |= Bake a 4 or 5-star Gummyyum Pie. Use any stove and the correct recipe.
STORYTASK_NPCSTORY_FINN_CRUST_START |= My skill as a baker only goes so far. And the ingredients I can obtain are limited. Your Vale has the best fruit. Mellowfields has the best veg. We don't get much around here except gooseberries.
STORYTASK_NPCSTORY_FINN_CRUST_START |= I would love to taste a pie made from ingredients found outside the Havens, and outside this realm.
STORYTASK_NPCSTORY_FINN_CRUST_START |= It is common knowledge the Fae have access to all sorts of sweet fruits that a man can only dream of.
STORYTASK_NPCSTORY_FINN_CRUST_START |= On your travels, if you were ever to find such delicacies, could you make me a pie? A lovely high-quality Fae pie. Hmmmm.
STORYTASK_NPCSTORY_FINN_CRUST_START |= I will be forever in your debt!
STORYTASK_NPCSTORY_FINN_CRUST_END |= Amazing! Oh, that smell! It instantly reminded me of when I was little, playing under a tree. There was a hole in it and a smell drifting out. This smell!
STORYTASK_NPCSTORY_FINN_CRUST_END |= It is all coming back to me, clear as crystal cupcakes.
STORYTASK_NPCSTORY_FINN_CRUST_END |= I recall a little voice from within the darkness of the hole as I peered into it.
STORYTASK_NPCSTORY_FINN_CRUST_END |= It said, "Oi, getcher big nose out of it ya big scrawny scarecrow!" Well, I got to taste your pie in the end, you little faery flapjack!
STORYTASK_NPCSTORY_KEN_TILLER_FRIENDLY |= Hoho! A good ally to have indeed! You aren't a spy, for you know who, are you?
STORYTASK_NPCSTORY_KEN_TILLER_FRIENDLY |= I trust ya.
STORYTASK_NPCSTORY_KEN_TILLER_FRIENDLY |= If it's not envious neighbours pricking my pumpkins, it's mischievous Fae gumming up my windmill blades.
STORYTASK_NPCSTORY_KEN_TILLER_FRIENDLY |= I grew up in a household that took no nonsense. If we were silly, then we'd be put into the larder and locked in.
STORYTASK_NPCSTORY_KEN_TILLER_FRIENDLY |= That wasn't actually that bad as the larder was a walk-in and stuffed with food.
STORYTASK_NPCSTORY_KEN_TILLER_LIKE |= Do you want to know the secret of growing the shiniest, plumpest veggies?
STORYTASK_NPCSTORY_KEN_TILLER_LIKE |= All you need is love.
STORYTASK_NPCSTORY_KEN_TILLER_LIKE |= It also helps to remove any beetles, of course.
STORYTASK_NPCSTORY_KEN_TILLER_LIKE |= You need to wait for a nice day, say here comes the sun, get back away from the light and just let it be. Then you have to come together with your veg and twist and shout as you uproot them.
STORYTASK_NPCSTORY_KEN_TILLER_LIKE |= After that, it's a long and winding road to the market to sell them.
STORYTASK_NPCSTORY_KEN_TILLER_LIKE |= For the bigger veg, I get by with a little help from my friends or use a wagon, but they are bumpy and can give you cart knee. Oh no!
STORYTASK_NPCSTORY_KEN_TILLER_NAME |= Give 10 Pumpkins to Frogg
STORYTASK_NPCSTORY_KEN_TILLER_DESC |= Ken Tiller has asked you to give 10 Pumpkins to Frogg. You can harvest, buy or grow them yourself.
STORYTASK_NPCSTORY_KEN_TILLER_START |= I need your assistance on a delicate matter.
STORYTASK_NPCSTORY_KEN_TILLER_START |= The vegetables that I had ready to deliver have gone missing.
STORYTASK_NPCSTORY_KEN_TILLER_START |= It's probably sabotage, but I have no proof.
STORYTASK_NPCSTORY_KEN_TILLER_START |= Could you make a delivery for me? Unfortunately, I don't have any veg to give you, but if you could take 10 pumpkins to Kooky Burrows in Outlane, I would pay you 50 Brass.
STORYTASK_NPCSTORY_KEN_TILLER_START |= Money isn't as important as reputation!
STORYTASK_NPCSTORY_KEN_TILLER_END |= Much appreciated. It is a great thing in this life to have a true friend who makes all the effort worth it. Sometimes you need to just relax and stop dashing around and see the beauty in things.
STORYTASK_NPCSTORY_KEN_TILLER_END |= As momma used to say, take your time, young man, don't rush to get old and take it in your stride. Live your life, junior!
STORYTASK_NPCSTORY_STAR_SAPPHIRE_FRIENDLY |= I have so many questions! What kind of music do you like? Who is your favourite bard? Do you play any instruments?
STORYTASK_NPCSTORY_STAR_SAPPHIRE_FRIENDLY |= I am still hoping to one day become just like Lyric. Isn't she just the coolest person ever?
STORYTASK_NPCSTORY_STAR_SAPPHIRE_FRIENDLY |= I have so many questions for her too, but I don't think she meets fans.
STORYTASK_NPCSTORY_STAR_SAPPHIRE_LIKE |= Yay! You like me!
STORYTASK_NPCSTORY_STAR_SAPPHIRE_LIKE |= That's at least two fans I have now, you and Thomas. He has been so good to me, let me stay in his house, and doesn't mind who I am.
STORYTASK_NPCSTORY_STAR_SAPPHIRE_LIKE |= It is important to be yourself and not feel like you have to justify existing!
STORYTASK_NPCSTORY_STAR_SAPPHIRE_LIKE |= That said, please keep liking me and subscribe to my taste in music. The people around here are such old fuddy-duddies. They only like lutes and chants.
STORYTASK_NPCSTORY_STAR_SAPPHIRE_NAME |= Play music with Star
STORYTASK_NPCSTORY_STAR_SAPPHIRE_DESC |= Take Star to the interior glade area in Mellowbrook and play the lute. Use the Follow command on interact to lead her there.
STORYTASK_NPCSTORY_STAR_SAPPHIRE_START |= It's amazing! You are my biggest fan, and I am yours!
STORYTASK_NPCSTORY_STAR_SAPPHIRE_START |= Seems you are the more popular around Quill, though. What is your secret?
STORYTASK_NPCSTORY_STAR_SAPPHIRE_START |= I think people judge me 'cos of my hair and energy. Thomas says my hair looks like Fairy silk.
STORYTASK_NPCSTORY_STAR_SAPPHIRE_START |= He's such a poet, but he doesn't know it!
STORYTASK_NPCSTORY_STAR_SAPPHIRE_START |= Do you want to go somewhere and jam? And after we eat jam, you could strum a lute, and I can sing!
STORYTASK_NPCSTORY_STAR_SAPPHIRE_END |= That was great fun! You play the lute beautifully. I could get used to that; it is intoxicating!
