ModifierReward_SimShopDiscount |= 가게 할인
Noticeboard_FaeFlowerRequest_S_Pinned |= {FULLNAME}에게 {ITEMTAG} 전달
Noticeboard_FaeFlowerRequest_S_ShortDesc |= {ITEMTAG} 배달하기
Noticeboard_FaeFlowerRequest_S_Desc |= 지금까지 이런 꽃은 본 적이 없어. 그들이 너를 바라보고 저주하는 방식은 매혹적이야.\n
Noticeboard_FaeFlowerRequest_S_Desc |= {FULLNAME}에게 {ITEMTAG} 전달.
Noticeboard_FaeFlowerRequest_S_Favour |= 반지, 반지, 장미... 솜털이 가득한 주머니. 내 연인에게 줄 꽃이 없네. 공정한 사람들의 영역에서 온 꽃만이 할 수 있지. {ITEMTAG}을 구해준다면 너에게 천 번 감사하지. 내 감사가 싫다면 브라스를 줄 수도 있어.

Noticeboard_HerbRequest_Name |= 허브가 필요해
Noticeboard_HerbRequest_Pinned |= {FULLNAME}에게 허브를 배달하기
Noticeboard_HerbRequest_ShortDesc |= 허브 배달하기
Noticeboard_HerbRequest_Desc |= 허브는 요리에 매우 유용하지. 나는 허브를 코에 붙이는 것도 좋아해.\n
Noticeboard_HerbRequest_Desc |= {FULLNAME}에게 허브를 배달하기.
Noticeboard_HerbRequest_Favour |= 저는 매트리스에 허브를 가득 채워서 모든 종류의 할망, 스콘, 위블레니프, 그로글스내치, 천더룬, 파플위프, 험피 덤피, 귀 크롤러, 스나클, 얼굴 먹는 잉클리딩클리푸를 쫓아내기로 했어. 허브를 구해서 도와줄 수 있어? 그리고 그 중 일부가 만들어진 것인지 알려줘.

Noticeboard_HerbRequest_S_Name |= 허브가 필요해
Noticeboard_HerbRequest_S_Pinned |= {FULLNAME}에게 {ITEMTAG} 전달
Noticeboard_HerbRequest_S_ShortDesc |= {ITEMTAG} 배달하기
Noticeboard_HerbRequest_S_Desc |= 허브는 요리에 매우 유용하지. 나는 허브를 코에 붙이는 것도 좋아해.\n
Noticeboard_HerbRequest_S_Desc |= {FULLNAME}에게 {ITEMTAG} 전달.
Noticeboard_HerbRequest_S_Favour |= 저는 매트리스에 허브를 가득 채워서 모든 종류의 할망, 스콘, 위블레니프, 그로글스내치, 천더룬, 파플위프, 험피 덤피, 귀 크롤러, 스나클, 얼굴 먹는 잉클리딩클리푸를 쫓아내기로 했어. {ITEMTAG}을(를) 구해서 도와줄 수 있어? 그리고 그 중 일부가 만들어진 것인지 알려줘.

Noticeboard_CommonMonsterPartsRequest_Name |= 평범한 몬스터 부속물 필요
Noticeboard_CommonMonsterPartsRequest_Pinned |= {FULLNAME}에게 평범한 몬스터 부속물 배달하기
Noticeboard_CommonMonsterPartsRequest_ShortDesc |= 평범한 몬스터 부속물 배달하기
Noticeboard_CommonMonsterPartsRequest_Desc |= 조금 이상하긴 한데, 몬스터 부품물을 손에 넣을 수 있을까? 내가 왜 이런 부품이 필요한지 묻지 마.\n
Noticeboard_CommonMonsterPartsRequest_Desc |= {FULLNAME}에게 평범한 몬스터 부속물 배달하기
Noticeboard_CommonMonsterPartsRequest_Favour |= 무엇을 사고 있어? 무엇을 팔고 있어? 글쎄, 나는 네가 판다면 일반적인 몬스터 부속물을 살게. 이 상호작용을 위해 반드시 해야 하는 매커니즘이라면 선물을 주고 싶어.

Noticeboard_CommonMonsterPartsRequest_S_Name |= Common Monster Parts Required
Noticeboard_CommonMonsterPartsRequest_S_Pinned |= {FULLNAME}에게 {ITEMTAG} 전달
Noticeboard_CommonMonsterPartsRequest_S_ShortDesc |= {ITEMTAG} 배달하기
Noticeboard_CommonMonsterPartsRequest_S_Desc |= 조금 이상하긴 한데, 몬스터 부품물을 손에 넣을 수 있을까? 내가 왜 이런 부품이 필요한지 묻지 마.\n
Noticeboard_CommonMonsterPartsRequest_S_Desc |= {FULLNAME}에게 {ITEMTAG} 전달.
Noticeboard_CommonMonsterPartsRequest_S_Favour |= 무엇을 사고 있어? 무엇을 팔고 있어? 글쎄, 나는 네가 판다면 {ITEMTAG}을(를) 살게. 이 상호작용을 위해 반드시 해야 하는 매커니즘이라면 선물을 주고 싶어.

Noticeboard_RaceChallenge_Name |= {LEVELNAME}에서 내 기록을 이겨봐
Noticeboard_RaceChallenge_Pinned |= {TARGETSECONDS}초 내에 {LEVELNAME}에서 레이스를 완료하세요.
Noticeboard_RaceChallenge_ShortDesc |= {LEVELNAME}에서 레이스를 완료하세요
Noticeboard_RaceChallenge_Desc |= {TARGETSECONDS}초 내에 {LEVELNAME}에서 레이스를 완료하세요. 경주를 시작하려면 새터웨이를 설정하고 돼지를 타고 출발 발팔으로 향합니다. 경주가 시작될 때까지 발팔 안에서 기다리고 발팔을 따라가며 가능한 한 빨리 코스를 통과하도록 노력하세요.
Noticeboard_RaceChallenge_Failed |= 레이스에 실패했습니다. 다시 시도하세요!

Noticeboard_ExorcismRequest_Name |= 파라노말 액티비티
Noticeboard_ExorcismRequest_Pinned |= {FULLNAME}의 초자연적 활동을 조사하세요.
Noticeboard_ExorcismRequest_ShortDesc |= 퇴마가 필요해요! 영혼이 강해졌어요!
Noticeboard_ExorcismRequest_Desc |= {FULLNAME}의 집에서 일어나는 초자연적인 활동을 조사하세요.
Noticeboard_ExorcismRequest_Favour |= 우리 집에서 이상한 일이 일어나고 있어. 소음, 뭔가 움직이고, 소름 끼치는 환영. 조사해 줄 수 있을까? 이런 일은 밤늦은 시간에만 일어나는 것 같으니 내가 자고 있어도 걱정하지 마.

Noticeboard_ExorcismRequest_Ghost_SlingshotSims |= 으아아아아아아! 내가 사라지기를 원해, 응? 나는 좋은 폴터 가이라서 새총으로 마을 사람 10명을 그만두자고? 뭐라고요오오오오오오?
Noticeboard_ExorcismRequest_Desc_SlingshotSims |= 새총쏘기 {COUNT}/{TOTAL}명의 주민.
Noticeboard_ExorcismRequest_Ghost_BadGift |= 와하하하! 나는 과거의 사마인의 유령이다! 낯익지 않니? 농담이야, 난 그런 유령이 아니야. 난 그저 살아 있는 사람들을 괴롭히는 평범하고 불안한 영혼일 뿐이야. 내가 사라지길 원해? 무례하구나! 누군가에게 싫어하는 물건을 선물했다면 그 정도 벌은 충분히 받았다고 생각하고 넘어가주지. 누구나 할 수 있지만 집과 가까운 사람을 선택하면 더 재미있을 수 있어. 와하하하!
Noticeboard_ExorcismRequest_Desc_BadGift |= 마음에 들지 않는 사람에게 선물을 주세요.

Noticeboard_TreasureHunt_Name |= 보물 사냥
Noticeboard_TreasureHunt_Pinned |= 숨겨진 보물을 찾아보세요
Noticeboard_TreasureHunt_ShortDesc |= 숨겨진 보물을 찾아보세요
Noticeboard_TreasureHunt_Desc |= 숨겨진 보물의 위치를 찾아 상품을 받으세요.\n{TREASURE_HINT}
Noticeboard_TreasureHunt_Favour |= 쉬이이이잇, 너는 속기 쉬운... 모험심이 강한 타입이지. 개를 키우는 남자를 만난 친구의 친구로부터 숨겨진 보물에 대해 들었는데, 다른 개를 키우는 남자에게서 우연히 정보를 얻었데. 그는 나에게 이런 위치 정보를 알려주었어... {TREASURE_HINT}
