JournalInstructions_PAD |= <calendar> 로 달력을 엽니다.
TwigGrottoIntro |= 위그 트위그 트위글리디, 페어웨더 씨가 기다리고 있어! 설레는 마음이 가득하지? 진짜 제대로 된 페이를 만날 기회는 많지 않으니까.
TwigGrottoIntro |= 이제 요정 불빛을 따라가면 드루이다의 남쪽 교차로에서 드림 호프를 타고 그곳에서 만나자!
TwigGrottoDruida |= 깨어 있어, 아니면 자고 있어? 자, 여기 네가 간직하고 싶을 선물이 있어! 페어웨더 씨가 직접 보낸 선물이야.
TwigGrottoDruida |= 옵스큐라라고 불리는 정말 특별한 랜턴인데 사용하면 평소에는 보이지 않던 것들을 볼 수 있어! 저기 있는 유리 렌즈를 집어넣어 봐. 신난다!
TwigGrottoDruida |= 하지만 여기서 멈추지 마! 요정들을 계속 따라가면 테스티 아크의 남동쪽 길모퉁이에서 만나자.
TwigGrottoTesty |= 우리는 모두 거대한 노끈 뭉치의 한 가닥에 불과하지만, 너의 소원은 광산 깊은 곳에서 이루어질 거야! 여기 열쇠가 있어.
TwigGrottoTesty |= 크럼블초크에 있는 첫 번째 광산까지 요정들을 따라가.
TwigGrottoGo |= 너는 적절한 시간에 적절한 장소에 있어. 더 이상 멍청한 트위그 라임을 듣지마. 이제 원 위에 서서 옵스큐라를 큰 돌에 비춰봐.
TwigGrottoGo |= 문이 열릴 때까지 광선을 움직여. 페이웨더 씨는 네가 상상할 수 없는 선물과 보물을 가지고 반대편에서 기다리고 있어. 하지만 소원을 빌 때 조심해!
Lemmy SippDay5ApothIntro |= 빌이 배탈이 좀 났나 봐? 보통은 식중독에 아브도-멘드 가루를 처방하는데 뻐꾸기 이슬과 블러드퓨가 다 떨어졌어. 그것들을 구해오면 만드는 법을 알려줄게. 어때? 뻐꾸기 숲에는 둘 다 있어.
Lemmy SippDay5ApothIntro |= 필요한 물품들을 찾기 위해 속담을 통해 배울 수 있어. 이 작은 속담들은 물건이 어디에 있고 무슨 기능을 하는지 알려줄거야. 세상의 대부분의 물품들은 별 등급을 가지고 있어... 일종의 등급 시스템이야. 마을 사람들의 소문에서 품질을 향상시키는 방법을 찾을 수 있어. 만약 재료 채집 시기에 대한 조언을 따르면 물건의 등급을 높여 훨씬 더 강력하고 가치 있게 만들 수 있어!
Lemmy SippDay5ApothIntro |= 어쨌든 이는 일반적인 규칙이야. 언제든지 탐색하거나 실험할 수 있어. 아이템을 대량으로 수집하면 정보가 채워질거야. 지금은 필요한 것을 찾아 뻐꾸기 숲으로 가봐.
Boots WintersDay5ApothGotDew |= 아, 티켓이네! 여기 있어!
Uncle BillMadeSickle |= 그나저나 양동이를 잘 만들었구나. 하고 싶은 말이 있단다. 정말 인상적인 작업이었어. 대장일은 힘들지만 확실히 근육을 키울 수 있지. 난 농장 냄새가 더 좋아 돼지똥 냄새는 확실히 돼지 쇠보다 낫지.
TwigGrottoEnterPortal |= 이제 페어웨더 씨를 만나러 가. 이상한 사람이지만 놀라운 재능을 가지고 있어! 그리고 소원을 빌 때 조심해!
Jeremie SmithApprenticeLine |= 잘했어! 이제 훌륭한 대장장이가 될거같군. 대장간은 언제든 이용할 수 있지만 광석을 가져와야해.판매대에서 네가 만든 물건 하나당 가격을 지불하마. 언젠가는 아버지가 가보로 주신 망치만큼 훌륭한 물건을 만들 수도 있겠지. 너무 귀해서 감히 사용하지도 못하겠어!
GATE |= 나는 당신을 본다! 나는 모두 본다! 통과하지 못할 수도 있다.
GoddessPrayer |= 당신의 축복을 기원하는 선물입니다, 여신님.
GoddessPrayer |= 드루이다, 당신을 위한 제물입니다.
GoddessPrayer |= 드루이다여! 사과를 축복해주시고 저희를 안전하게 지켜주세요.
BrouniePrayer |= 이 집을 축복해 주세요.
BrouniePrayer |= 작은 사람들이여, 당신들에게 바치는 제물입니다.
BlacksmithApprenticeTutorialSelection |= 제련 도제 생활을 시작하자!\n\n광석과 주형을 선택하는 것부터 하자. <item:Tin_Ore> 과 <item:Bucket_Mould>만 있지만 장신구부터 검까지 무엇이든 만들 수 있는 다양한 재료와 주형이 많이 있지!
BlacksmithApprenticeTutorialBellows |= <bs_press> 를 눌렀다 뗏다 하며 풀무질로 광석을 녹여라.
BlacksmithApprenticeTutorialHeat |= 아이템을 대장간으로 옮기고 <bs_press> 를 눌러 가열한 다음, <bs_press> 를 다시 눌러 제거해라. 눈금에 있는 녹색 마커를 조준해!
BlacksmithApprenticeTutorialCool |= <bs_press> 를 눌러 항목을 물속으로 내려 식힌 다음 <bs_press> 를 다시 눌러 제거해라. 눈금에 있는 녹색 마커를 조준해!
BlacksmithApprenticeTutorialHammer |= <bs_press> 를 눌러 항목을 망치로 두드려 모양을 만듭니다. 목표물을 완전히 덮는 것을 목표로 해라. 더 높은 명중률을 얻으려면 힘을 높여야하지.
BlacksmithApprenticeTutorialGrind |= <bs_press_left> 와 <bs_press_right> 를 길게 누르면 숫돌 위에서 아이템을 갈 수 있다. 녹색 영역을 조준하고 하고, 회색 영역을 연마하면 아이템이 망가진다.
BlacksmithApprenticeTutorialEnd |= 멋진 물건이군!\n\n만든 아이템은 필요에 따라 여러 장소에 보관할 수도 있고 직접 보관할 수도 있지!\n\n그러나 지금 중요한 것은 초보 대장장이로서 네가 첫 아이템을 만들었다는 사실이다. 시간이 지나면 정말 잘할 수 있을 것 같군!\n언젠가 너만의 대장간을 운영할 수도 있을지도 모르겠어!
TravellingTraderDesc |= 판매원들은 진공청소기부터 나이프까지 모든 것을 팔면서 수세기 동안 이 땅을 여행했다. 고대에는 집집마다 돌아다니며 엔실로페디아라고 불리는 무거운 문 버팀쇠를 팔았지.
GoodsMarketDesc |= 시장은 모든 마을의 생명선이지. 사람들은 이곳에서 신선한 상품을 구입하고 재미있는 이벤트와 카니발 게임을 즐길 수 있어. 볼거리! 냄새! 특히 냄새가 좋지.
PigRacingDesc |= 돼지 경주는 퀼 전역에서 어른과 어린이 모두가 페스티벌 그린에 모여 돈을 쓰고 즐거운 시간을 보내며 즐겨요. 자신의 돼지를 타고 경주를 즐길 수 있습니다!
PigMarketDesc |= 육즙 가득한 베이컨이 다 떨어졌나요? 돼지가 모두 터졌나요? 그렇다면 돼지 경매가 필요하죠! 페스티벌 그린에 오셔서 가장 날것 그대로의 베이컨을 입찰하세요. 접시에 담겨 있지 않고 살아있는 상태로요.
ChickenRacingDesc |= 닭 경주는 퀼에서 진지한 경쟁입니다. 돈을 걸고 최고의 닭이 승리하기를 기원하죠. 페스트필드로 가서 경기를 즐겨보세요.
ChickenMarketDesc |= 손가락으로 핥을 수 있는 닭고기를 찾으시나요? 달걀이 더럽지 않은 닭이 필요하신가요? 페스트필드의 시장에서 열리는 경매에 참여하여 품질 좋은 닭에게 거금을 걸고 낙찰받으세요!
SheepRacingDesc |= 양 경주는 퀼에서 심각한 경쟁이 아닙니다. 풀을 먹고 싶은 충동을 느끼지 않는 양이 승리하길 바랍니다. 파인페이어로 이동하여 활동을 즐겨보세요. 나만의 양을 데리고 경주에 참가하세요!
SheepMarketDesc |= 좀 더 푹신한 양을 찾고 계신가요? 파인페이어에서 고품질의 튀어오르는 양을 만나보세요.
DruidaDayDesc |= 이 축복의 날에 우리는 드루이다에게 경의를 표하며, 과수원을 풍요롭게 하고 공정한 계곡에 새로운 활력을 불어넣어주기를 바랍니다. 아무 여신상이나 제물을 바치고 축제에 자유롭게 참여하세요.
LemonadeOpenHourQuestion |= 영업 시간은 몇 시간인가요?
SimHit |= 아, 조심해!
SimHit |= 아, 아파!
SimHit |= 그만해!
SimHitFriendly |= 왜 그러는 거야?
SimHitUnfriendly |= 저주한다!
RESCUECATName |= 고양이 구조
RESCUECATDesc |= 헤이즐의 고양이가 실종되었는데, 고양이를 찾아서 헤이즐에게 데려다주세요! 도움이 필요하면 새터웨이를 이용하세요.
Hazel NuttCatToRescue |= 오, 완벽한 타이밍이네! 고양이 한 마리가 사라졌어. 고양이를 찾아줘. 근처 숲으로 갔을 거야! 오르는걸 좋아하니 나무를 확인해 봐!
Hazel NuttCatRescued |= 고마워, <PlayerName>! 나무 위에서 내 고양이를 구해줬구나! 진정한 고양이 애호가네. 내 고양이 한 마리 살래? 내 머리에 있는 버블퍼프만 빼고 아무거나 골라봐... 버블퍼프 없이는 견딜 수 없거든. 한마리 당 10 브라스야...
DARK_LIGHT_TUTORIAL |= Q 또는 오른쪽 스틱으로 어두운 조명 모드를 켜거나 끄면 새로운 장소로 이동하는 데 도움이 될 수 있습니다!
Blacksmith_ItemBroken |= 아이템이 부서졌다.
Blacksmith_ItemBrokenDesc |= 제작 과정에 실패하여 광석을 잃었다.
Blacksmith_ItemLowRating |= 아이템 등급이 낮다.
Blacksmith_ItemLowRatingDesc |= 아이템의 등급이 보상을 받기에는 너무 낮다.
Blacksmith_AnvilHit |= 모루질
Blacksmith_Forge |= 대장간
Blacksmith_Cool |= 식히기
Blacksmith_Bellow |= 풀무
Blacksmith_Select |= 선택
Blacksmith_Orders |= 주문
BlacksmithCrafter_NoOre |= 여기에는 작업할 광석이 없어!
BlacksmithCrafter_NoCraftingToDo |= 주문은 없고 이미 진열대에 물건을 올려놓았어.
Barter_Stop |= 멈추기
Harry BuckleINTRO |= 양조를 위하여! 벌꿀술을 위하여! 마실만한걸 줄까? 내 형과 나는 이곳으로 이사 와서 술집을 운영하고 있어. 끄억! 너무 취한 것 같네!
Saul BuckleINTRO |= 벌꿀술을 위하여! 양조를 위하여! 깃발 꽂을 때 쓰는 포도주병? 형과 내가 동네 펍을 샀어. 언제 한번 들러. 말 그대로가 아니라! 그건 지저분하고 풍선처럼 보이지도 않잖아!
Rock SaltINTRO |= 특별히 필요한 게 있어? 나는 바쁜 사람이야. 여긴 너무 유쾌하고 나는 한가한 농담이나 할 시간이 없어.
Celia SaltINTRO |= 오, 안녕! 새로운 얼굴을 보니 반갑네. 언제 얘기 좀 하면 좋을 것 같아. 우리 집은 대화가 거의 없거든.
Roman SaltINTRO |= 나한테 말하지 마! 삐지느라 너무 바빠!
Peter PepperINTRO |= 와! 어서와! 내 손가락 냄새 맡아봐! 좋은 농담 알아? 네 얼굴 말고? 썡! 너 같은 머리칼을 가진 사람을 마지막으로 본 건 양 시장에서였어. 카둠프!
Carolina PepperINTRO |= 아, 제발 다른 농담말고 말해봐? 인생에서 농담이 더 이상 빛을 발하지 못하고, 말장난이 빛을 잃고 흐릿한 표현만 남게 되는 때가 오기 마련이지.
Belle PepperINTRO |= 난 벨이야! 언제든 반지를 줘도 돼, 귀염둥아! 나는 달력같아서 데이트를 좋아하지, 자두도 좋아해.
Rosie CrustINTRO |= 오, 폭신폭신한 크러스트, 내 사랑! 포피힐에 온 걸 환영해! 여성에게 알려진 최고의 파이와 페이스트리의 본고장. 계속 빵을 굽고 싶어! 너의 체리를... 내 케이크 위에 올리고 싶네.
Finn CrustINTRO |= 오, 좋은 하루 되렴! 파이를 좋아하니? 케이크 전문가? 빵 도둑일지도 모르지! 내 아내의 빵에 손대지 마!
Herbie WeedINTRO |= 안녕. 만나서 반가워. 난 허비야. 최근에 사랑하는 아이비와 결혼해서 함께 이 멋진 약국을 열었. 약용 식물이 필요하면 내가 도와줄게. 다른 곳보다 가격이 비싸지만 비싼 만큼 장점이 있겠지? 맞아, 수익이 더 많지! 가게는 아직 운영하고있니?
Herbie WeedINTRO |= 아직은 얼마 안됐지만 결혼은 꼭 추천해요! 결혼하고 싶다면 러버우드에 있는 대제사장을 찾아가봐. 그의 도움 없이는 결혼할 수 없으니 꼭 만나야겠지?
Ivy WeedINTRO |= 안녕. 너는 기쁨과 즐거움을 섞을 줄 아는 사람처럼 보이네. 내가 너에게 에너지를 주고 모든 감각을 춤추는 별빛의 무지개로 만들 수 있는 무언가를 섞어줄 수 있어.
Ivy WeedINTRO |= 내 반짝이는 낭만적인 기분을 용서해 주렴. 얼마 전에 허비와 결혼해서 약국을 열었어. 꿈이 이뤄진 거지.
Hannah HammerINTRO |= 어떻게 하냐고? 우리는 대장간에서 꽤 괜찮은 아이템을 만들기 때문에 구매하고 싶다면 네리스에게 물어봐. 내가 만들면 네리스가 배송하지.
Nerys NailINTRO |= 안녕! 나는 네리스 네일이야. 내가 못을 만드는 대장간에서 일하니까 웃기네. 나는 개인적으로 못을 직접 만드는 것보다 못을 그리는 걸 더 좋아해(낄낄).
Edward WoodINTRO |= 안녕! 서머다운에 온 것을 환영해. 부스러기와 소스 얼룩이 묻지 않은 새로운 얼굴을 보니 반갑네. 나와 데이지뿐이야. 엄마에게 일어난 일 이후로 데이지가 믿음을 주는 타입은 아니지만 착한 아이지.
Daisy WoodINTRO |= 안녕하세요. 아빠는 모든 사람에게 예의를 갖춰야 한다고 하셨어요. 자신이 대접받고 싶은 대로 다른 사람을 대하라고 말씀하셨죠.
Poppy SeedINTRO |= 오오오! 안녕, 묘목아. 넌 소녀에게 숲의 가장 어두운 구석을 보여줄 수 있는 사람처럼 보이네. 언제 한번 같이 가보자 네가 장작을 가져오면 내가 불을 피울게.
Kane HinesINTRO |= 안녕. 개를 좋아하니? 나는 개를 사랑해. 나는 개에 관한 책을 써. 혹시 읽어 봤니? 개는 매우 유용하지. 개가 기분이 좋을 때 꼬리를 흔든다는걸 알고 있었어? 나도 가끔 그러거든.
Roger ReadilyINTRO |= 이게 누구죠? 낯설지만 예쁜 얼굴이네요. 내가 가장 잘하는 게 당신을 따르는거에요. 이름만 들어도 알 수 있듯이 로저에요. 멍!
Rose ThornINTRO |= 어서 오세요, 어서 오세요! 정령과 여신이 오늘 여러분을 축복합니다. 당신을 기리며 속삭이는 주문을 외우면 내 기운이 당신 앞에서 따스해집니다.
Herbert LemonLEAVEVALE |= 비극과 페이의 거래! 허버트는 그런 것들을 알고 있지. 허버트도 네가 찾는 것이 무엇인지 알고 있다. 이제 성인이 되었으니 문을 통과하여 찾을 수 있어! 서클을 찾아봐!
Herbert LemonLEAVEVALE |= 모험과 위험이 가득한 저 너머의 세계가 기다리고 있어! 허버트는 너의 안녕을 빌어주마. 자신을 보호해야 한다면 이 문 너머 리버무어에 있는 마스터 조곤을 찾아가. 어서 가봐!
FairweatherINTRO |= 다시 함께 해주어서 정말 기쁘군. 이제 너는 진정한 그림자가 어떤 모습인지 보았다. 인간 세상이 얼마나 희극인지 보았을거야. 아이에게 희생을 강요하다니? 인간들이 얼마나 편협하고 불쌍한 존재인지.
FairweatherINTRO |= 하지만 너는 아니야. 너와 함께 경이로운 업적을 이룰 혈통이 시작되리라. 모든 것을 완벽하게 지배할 왕조가 탄생한거야. 필요한 건... 씨앗 하나뿐이지.
FairweatherINTROExtra |= 킨씨드. 일단 꽃을 피우면 그 마법에 묶이게 되고, 거부할 수 없는 무덤의 부름에 굴복할지라도 너의 본질은 후손의 수호자로서 살아 남을 것이다. 각 세대는 이전 세대보다 더 강해질거고. 너의 영혼은 그 어떤 퀼보다 밝아질테지.
FairweatherINTROExtra |= 하지만 먼저... 계약에 동의해야해. 장담하건대, 그저 형식적인 절차일뿐이야.
FairweatherINTRO2 |= 훌륭하군. 그러면 우리의 언약이 성립된다. 이제 네가 집이라고 부르는 집 위의 언덕에 씨앗을 심어라. 그 뿌리가 너의 뿌리가 될 것이다. 그리고 그것은 너의 가족처럼 여러 번 꽃을 피울테지.
FairweatherINTRO2 |= 하지만 오늘 밤 내 선물은 그것만이 아니야. 너는 이미 고단하고 힘든 노동의 삶을 경험하였으니 이 장신구들이 너의 짐을 덜어줄거다. 지금 이 중 하나를 선택해도 되지만, 더 많은 것을 원한다면 나중에 나를 찾아와도돼.
FairweatherINTRO2 |= 어쨌든 연말 자정이 되면 내가 제공한 서비스에 대한 소정의 비용을 받기 위해 너를 찾아가지. 다음에 또 보자, 아이야.
FairweatherTillNextYear |= 네 열의에 박수를 보내마, 선물을 주는 내 힘에도 한계가 있단다. 내년까지 기다려. 기다릴만한 가치가 있을 거야, 날 믿어.
Fairweather_EndOfDay |= 오늘 하루는 일을 정리하고 이후에 다시 보도록 하지.
ChatOption_Introduce |= 소개
ChatOption_Greeting |= 안녕하세요!
ChatOption_Continue |= ...
ChatOption_HowAreYou |= 잘 지내요?
ChatOption_Gift |= 선물
ChatOption_TaskInfo |= 일거리가 있나요?
ChatOption_Favour |= 선호
ChatOption_LowTierGossip |= 가십
ChatOption_Response |= 사용자 지정 응답
ChatOption_HighTierGossip |= 비밀
ChatOption_Bye |= 잘가!
ChatOption_AcceptFavour |= 수락
ChatOption_DeclineFavour |= 거절
ChatOption_Close |= 닫기
ChatOption_Yes |= 예
ChatOption_No |= 아니요
ChatOption_Ok |= 알겠습니다
ChatOption_Repeat |= 반복
ChatOptionSecretBox |= 그동안 나에게 잘해주어서 우리 가족의 비밀상자 잠금해제 암호 숫자를 알려줄게... <VAR1>
ChatOptionSecretInfoLimit |=  이번 계절에는 더 이상 전달할 정보가 없어.
ChatOptionGreetingMorning |= 좋은 아침.
ChatOptionGreetingAfternoon |= 안녕하세요.
ChatOptionGreetingEvening |= 안녕하세요.
ChatOptionByeT2_Positive |= 잘가.
ChatOptionByeT2_Neutral |= 안녕히 계세요. 우리가 다시 만날 때까지.
ChatOptionByeT2_Negative |= 때가 됐어요.
ChatOptionByeT3_Positive |= 잘가! 대화 즐거웠어.
ChatOptionByeT3_Neutral |= 이만 잘가.
ChatOptionByeT3_Negative |= 흐으으음.
ChatOptionAcceptFavour |= 좋아! 얼른 서두르자.
ChatOptionDeclineFavour |= 흐으음.
ChatOptionDeclineFavour |= 충분해.
ChatOptionHowAreYouHungry_Positive |= 배가 고프네.
ChatOptionHowAreYouOk_Positive |= 괜찮아.
ChatOptionHowAreYouHappy_Positive |= 행복해!
ChatOptionHowAreYouSad_Positive |= 좀 슬프네.
ChatOptionHowAreYouIll_Positive |= 몸이 별로 좋지 않아.
ChatOptionHowAreYouTired_Positive |= 피곤해.
ChatOptionHowAreYouBusy_Positive |= 난 바쁜 꿀벌이야.
ChatOptionHowAreYouUnhappy_Positive |= 기분이 좋지 않아.
ChatOptionHowAreYouGreat_Positive |= 기분이 정말 좋아!
ChatOptionHowAreYouHungry_Neutral |= 배가 조금 고파.
ChatOptionHowAreYouOk_Neutral |= 나쁘지 않네, 고마워.
ChatOptionHowAreYouHappy_Neutral |= 오늘은 모두 웃자.
ChatOptionHowAreYouSad_Neutral |= 조금 우울해.
ChatOptionHowAreYouIll_Neutral |= 몸이 아파.
ChatOptionHowAreYouTired_Neutral |= 잠이 필요해!
ChatOptionHowAreYouBusy_Neutral |= 나 바빠!
ChatOptionHowAreYouUnhappy_Neutral |= 나 좀 화났어.
ChatOptionHowAreYouGreat_Neutral |= 훌륭해!
ChatOptionHowAreYouHungry_Negative |= 배고프지만 네가 상관할 일이 아니야!
ChatOptionHowAreYouOk_Negative |= 내가 괜찮은지 아닌지는 뭘 신경써?
ChatOptionHowAreYouHappy_Negative |= 네가 옆에 없었다면 더 행복할거야.
ChatOptionHowAreYouSad_Negative |= 너를 보니 기분이 나빠져.
ChatOptionHowAreYouIll_Negative |= 몸이 안 좋아. 그래서 뭐?
ChatOptionHowAreYouTired_Negative |= 너랑 대화하는건 피곤해.
ChatOptionHowAreYouBusy_Negative |= 너무 바빠서 너랑 대화할 시간이 없어!
ChatOptionHowAreYouUnhappy_Negative |= 진짜 화나내!
ChatOptionHowAreYouGreat_Negative |= 덕분에 기분이 좋아졌어.
ChatOptionHowAreYouBetterNow_Positive |= 이제 기분이 나아졌어, 고마워!
ChatOptionHowAreYouBetterNow_Neutral |= 이제 기분이 나아졌어, 고마워!
ChatOptionHowAreYouBetterNow_Negative |= 이제 기분이 나아진 것 같아.
ChatOptionFavour |= 부탁 하나만 들어주실 수 있어?

GiftForTask |= 고마워, 내가 말한 대로네.
GiftForTask |= 고마워, <PlayerName>. 그게 바로 티켓이야.
GiftForTask |= 고마워! 딱 맞네!
GiftForTask |= 정말 필요한 거였어. 고마워, <PlayerName>.
GiftForTask |= 아, 완벽해! 잘했어.
GiftForTask |= 내가 요청한 대로야. 고마워.
GiftForTask |= 오, 내가 말한 대로군. 멋지네.
GiftForTask |= 너는 별이야. 고마워, <PlayerName>.

GiftForTaskWaiting |= 고마워, 기다리고 있었어!
ChatOptionSecretLikedItem |= 비밀을 하나 알려줄게... <VAR1> , 내가 가장 좋아하는 거야.
ChatOptionSecretHatedItem |= 비밀을 하나 알려줄게... <VAR1> , 나는 세상 그 어떤것 보다 이게 싫어.
ChatOptionSecretLikedItemOtherNPC |= 비밀을 하나 알려줄게... <VAR1> 가 <VAR2>를 좋아한데.
ChatOptionSecretHatedItemOtherNPC |= 비밀을 하나 알려줄게... <VAR1> 가 <VAR2>를 정말 싫어한데.
ChatOptionSecret |= 아이템에 대한 비밀은 더 이상 모르겠어.
ChatOptionGossipAge |= <VAR1> 은(는) <VAR2> 살이 되었다고 들었어.
ChatOptionGossipAgeSelf |= 나는 <VAR1> 살이야.
ChatOptionGossipBirthday |= 내 생일은 <VAR1> 이야.
ChatOptionGossipBirthdayOther |= <VAR1> 은 <VAR2> 이 태어난 날이라고 들었어.
ChatOptionGossip |= 경솔한 말은 생명을 앗아가지. 글쎄, 목숨이 아니라 다른 것일 수도 있겠지.
ChatOptionGossip |= 글쎄, 욕하고 싶으면 사람들과 친구를 사귀고 원하는 만큼 욕을 하라고 충고할게!
ChatOptionGossip |= 미안하지만 말해주면 너를 희생시켜야 해.
ChatOptionGossip |= 죽은 자는 말을 하지 않지. 살아있는 자의 이야기는 결국 죽어.
ChatOptionGossip |= 내가 험담이라도 했나? 그래. 가져도 돼? 아직은 안 돼. 
ChatOptionGossip |= 노커를 달래거나 통제할 수 있다면 채굴을 대신 해줄 수 있을 것 같은데, 그런 방법이 있는지 궁금해. 내가 단서를 준 것 같네!
ChatOptionGossip |= 블랙 바라그에 대한 노래를 들어봤어? 문 밖에는 죽음의 사냥개가 앉아 있지. 먹지도, 자지도, 움직이지도, 똥도 누지 않아. 그리고 죽음이 영혼을 앗아갈 때까지 7일 동안 그 자리에 머무른다네.
ChatOptionGossip |= 고대인들이 나무 상자에 죽은 사람을 묻을 때 쇠못을 사용한 이유를 알고 있어? 주석이 발명되지 않았기 때문이지. 아마도.
ChatOptionGossip |= 펠을 조심해! 그들은 모습을 바꾸고 우리 사이를 걸어다니지! 그들은 속고 속이며 게임을 해! 이상한 이름을 가진 사람들을 조심해! 물론 퀼이 거의 모든 사람이 그렇긴하지만.
ChatOptionGossip |= 마녀 사냥꾼을 만나봤어, <PlayerName>? 오후 6시에서 오전 6시 사이에 농가의 선술집에서 만날 수 있어. 그는 대부분의 퀼리언이 외면하는 신비한 인물이지만, 모험심이 있다면 찾아보는 것도 좋아. 마녀 사냥꾼은 독특한 전투 임무를 부여하고 보상을 줄거야!
ChatOptionGossip |= 톰 훅핑거스가 너를 간지럽히며 낄낄웃네. 분명히 그가 너를 잡으면 너는 웃으면서 동시에 비명을 지르게 될 거야.
ChatOptionGossip |= 퀼의 누군가가 전설적인 검의 존재를 발견했다는 소문이 소문 속에 소문으로 퍼져 있어. 신화와 수수께끼로 뒤덮인 그 검을 인간과 페이 모두의 기억에서 지우기 위한 조치가 취해졌다고 하던데. 그런 무기가 존재할 수 있을까?
ChatOptionGossip |= 한 여인이 이곳에서 멀지 않은 곳에 있는 오래된 나무뿌리에 엉킨 아기 여우를 구한 적이 있어. 이 여우의 꼬리는 불꽃으로 만들어졌지만 불꽃은 뜨겁지 않고 차가웠데. 어느 날 여우는 사라졌지만 여인의 창턱에는 작은 은화 주머니가 남겨져 있었다고해. 아마도 여우가 페이족 주인에게서 도망쳐서 길을 잃었고, 여우를 찾으러 다시 왔던 것 같아.
ChatOptionGossipVALE |= 그 상인이 재버웍을 봤다고 했어! 귤색이었고 사악한 녹색 불꽃을 내뿜는 익히지 않은 닭처럼 생겼데. 숲에서 나온 걸까?
ChatOptionGossipVALE |= 어떤 방랑자가 멜로우필드 서쪽에 부자연스러운 안개가 끼었는데, 그 안에서 기괴한 음악이 들렸고 가면을 쓰고 춤추는 이상한 형상을 봤다고 했어. 또 술 몇 잔을 마시고 버트라는 애완용 용을 키우고 있다고도 했어.
ChatOptionGossipVALE |= 멜로우필드 사람들이 화장실 사용 후 손을 씻는다는 사실을 알고 있어? 역겨워!
ChatOptionGossipVALE |= 북쪽에서 들려오는 이상한 소리. 발목을 잡는 움직이는 웅덩이. 뛰노는 외눈박이 짐승과 애완용 물고기의 죽음을 예측하는 고양이. 마지막 이야기는 사실이 아닐 수도 있어.
ChatOptionGossipVALE |= 그 방랑자는 지난 주 슁글스에 전에 본적없던 비가 내렸다고 말했어. 
ChatOptionGossipVALE |= 여기에서는 모두가 상점에서 특전 포인트를 빨리 사용하길 바란다는 소문이 돌고 있어. 개선이 필요해.
ChatOptionGossipVALE |= 리버무어의 무덤은 무서워. 하룻밤만 머물려고 하면 영혼이 꺼지라고 말한데! 아니면 조곤과 그의 '영혼'일지도 모르지.
ChatOptionGossipVALE |= 슈에 사는 할머니도 고아라고 들었어.
ChatOptionGossipVALE |= 슈에 사는 할머니는 그 신발을 어디서 구했을까?! 다른 하나는 어디 있지? 어딘가에 거인이 뛰어다니고 있을 거야!
ChatOptionGossipVALE |= 양을 염색할 수 있다고 들었어! 누가 생각이나 했겠어?!
ChatOptionGossipVALE |= 커닝 플롯의 올리브 릿지에 토끼 문제가 생긴 것 같았어. 토끼가 정원을 파헤치는 문제인지, 아니면 대머리 문제인지는 잘 모르겠네.
ChatOptionGossipVALE |= 파인쉐이드에 사는 어떤 사람이 폭풍우가 치는 동안 뒤죽박죽 나나라고도 알려진 새그티트 마녀를 봤다고 주장했어. 폭풍을 불러낼 수 있다면 마녀를 볼 수 있을지도 모르지.
ChatOptionGossipVALE |= 누군가 한밤중에 마을 주민들에게 선물을 보내고 있어. 우체통을 통해서말야. 일을 처리하는 한 가지 방법일지도 모르지.
ChatOptionGossipVALE |= 나는 민들레가 단순히 시간을 알려주기 때문이 아니라 언젠가 아주 유용하게 쓰일 것 같아서 수집해. 너도 그러는게 좋아.
ChatOptionGossipVALE |= 그 광산은 깊다고 하지만 아무도 그 안으로 들어가는 방법을 몰라. 하지만 내가 감히 그렇게 멀리 모험을 할 수 있을지는 모르겠어... 너무 깊게 파보면 나쁜 것들이 발견되니까!
ChatOptionGossipVALE |= 가을의 멜로우필드에서 프레드 바리콘이 튀어 오르는 것을 본 적이 있어? 정말 멋진 광경이야!
ChatOptionGossipVALE |= 똥이 얼지 않도록 겨울 전야에는 불을 붙여둬.
ChatOptionGossipVALE |= 구운 과자를 좋아한다면 포피힐 상품 가게에 가봐. 파이를 먹은 후 퀼 위에 떠 있을 정도로 가벼운 페이스트리 파이를 만들어.
ChatOptionGossipVALE |= 포피힐은 한때 음악 축제를 개최했어. 전국에서 음유시인과 음악가들이 모여 고막을 터뜨리는 음악을 들려주었고, 사람들은 기념품 문신을 터무니없이 비싼 가격에 팔았지. 나는 '구르는 돌에 이끼가 끼지 않는다'는 문구가 새겨진 셔츠를 샀어. 속담처럼 바가지였지.
ChatOptionGossipVALE |= 왜 방귀 축제를 워마쉬에서 취소했을까? 가스 때문이었어.
ChatOptionGossipVALE |= 멜로우필드에서 누군가의 농사가 실패했다고 들었어. 우리가 사랑하는 여신들에게 경의를 표하지 않으면 이런 일이 벌어지지!
ChatOptionGossipSUMMERDOWN |= 베일 출신이지? 거기선 아이를 낳지 않으면 아내를 제물로 바친다고 들었어. 야만적이군!
ChatOptionGossipSUMMERDOWN |= 연례 요리 대회가 여름에 열려. 와서 축제도 즐기고 요리도 해보는 건 어떨까?
ChatOptionGossipSUMMERDOWN |= 맑고 청명한 겨울 밤에는 먼 봉우리를 바라보는걸 좋아해, 가끔 동굴을 따뜻하게 데우는 드래곤파이어의 불빛을 볼 수 있어.
