CONTEXTDIALOGUE_SPOUSE_WEALTH_POOR |= 돈이 더 많았으면 좋겠어.
CONTEXTDIALOGUE_GENERAL_ANIMAL_RIDING_PIG |= 돼지 타기 능력 시험은 통과했어?
CONTEXTDIALOGUE_GENERAL_ANIMAL_RIDING_PIG |= 조심해서 타!
CONTEXTDIALOGUE_GENERAL_ANIMAL_RIDING_PIG |= 저 돼지 날갯짓 좀 봐!
CONTEXTDIALOGUE_GENERAL_ANIMAL_RIDING_PIG |= 함께 타자!
CONTEXTDIALOGUE_GENERAL_ANIMAL_RIDING_PIG |= 저 돼지한테서 후추 냄새가 나.
CONTEXTDIALOGUE_GENERAL_ANIMAL_RIDING_PIG |= 으와, 이봐!
CONTEXTDIALOGUE_GENERAL_ANIMAL_RIDING_PIG |= 줄무늬 베이컨!
CONTEXTDIALOGUE_GENERAL_PLAYER_FISHING |= 뭔가 물었어?
CONTEXTDIALOGUE_GENERAL_PLAYER_FISHING |= 우승자를 잡아봐.
CONTEXTDIALOGUE_GENERAL_PLAYER_FISHING |= 뭔가 갉아먹었어?
CONTEXTDIALOGUE_GENERAL_PLAYER_FISHING |= 하나 있어!
CONTEXTDIALOGUE_GENERAL_PLAYER_FISHING |= 저기 큰 게 있어.
CONTEXTDIALOGUE_GENERAL_PLAYER_FISHING |= 전부 잘못하고 있네.
CONTEXTDIALOGUE_GENERAL_PLAYER_FISHING |= 만찬이다!
CONTEXTDIALOGUE_GENERAL_PLAYER_FISHING |= 뭔가 이상한 일이 벌어지고 있어.
CONTEXTDIALOGUE_GENERAL_PLAYER_FISHING |= 잡았어?
CONTEXTDIALOGUE_GENERAL_PLAYER_FISHING |= 뭐 좀 잡았어?
CONTEXTDIALOGUE_GENERAL_PLAYER_FISHING |= 아아, 낚시를 하면 이길 수가 없군.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_ARMY |= 내 마로니에 열매를 부숴버려! 정말 멋지네!
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_ARMY |= 너와 누구의 애완동물 군대? 근데 군대가 뭐야?
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_ARMY |= 추종자가 많구나.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_ARMY |= 아, 귀엽다.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_ARMY |= 재밌네!
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_ARMY |= 훈련이 잘 됐네!
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_ARMY |= 노아의 방식이야!
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_ARMY |= 저 동물들이 너와 같은 냄새가 나거나 네가 동물 냄새가 나거나 둘 중 하나야.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_ARMY |= 재밌네.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_CAT |= 여기야, 고양야!
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_CAT |= 아, 귀엽다.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_CAT |= 착한 고양이네.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_CAT |= 에취!
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_CAT |= 저 고양이 눈이 이상해.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_CAT |= 새 애완동물을 키우고 싶어져.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_CAT |= 저것 좀 봐! 고양이야!
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_CAT |= 내가 저 고양이에게 반응하는 것 같아.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_CAT |= 으와아, 푹신푹신!
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_DOG |= 내 정원을 파헤치지 마!
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_DOG |= 뒷정리는 꼭 해!
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_DOG |= 아이구, 우리 강아지 귀엽다.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_DOG |= 정말 착한 강아지네.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_DOG |= 다리가 네 개라 재미있어 보여.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_DOG |= 감히 내 다리를 힘들게 하지마.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_DOG |= 함께 모험을 떠날까?
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_DOG |= 그럼, 난 개가 될 거야.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_DOG |= 너도 잘 가.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_DOG |= 보물 냄새라도 맡았어?
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_DOG |= 착하지.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_PIG |= 생각나네. 베이컨이 더 필요해.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_PIG |= 아, 귀여운 돼지야.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_PIG |= 귀여운 돼지야.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_PIG |= 저 돼지가 널 사랑하나 봐!
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_PIG |= 저거 경주 잘하는 돼지야?
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_PIG |= 놀라워!
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_PIG |= 매일 볼 수 있는 건 아니지만. 뭐, 매일 보긴 하지.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_CHICKEN |= 닭 쫓아가기!
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_CHICKEN |= 옛날 우화에 나오는 장면 같네.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_CHICKEN |= 닭을 쫓아!
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_CHICKEN |= 정말 멋진 광경이네.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_CHICKEN |= 저걸 보니 웃겨.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_CHICKEN |= 아, 귀여운 닭이네.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_CHICKEN |= 알을 낳으러 가자.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_CHICKEN |= 보기에 재밌네.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_CHICKEN |= 작은 다리가 움직이는 것 좀 봐.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_CHICKEN |= 닭이 놀고 있어!
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_OWL |= 멋진 새야!
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_OWL |= 내 창문에 똥을 싸지 않으면 좋겠어.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_OWL |= 펄럭펄럭?
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_OWL |= 저것 좀 봐!
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_OWL |= 내가 꿈을 꾸는 걸까, 아니면 저 부엉이가 나뭇가지로 만들어 진 걸까?
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_OWL |= 저 앵무새가 코스프레하는 건가?
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_OWL |= 저게 바로 애완동물이지!
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_OWL |= 부리가 날카로워 보여.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_OWL |= 묘기도 부릴까?
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_OWL |= 부엉이 이름이 러셀인가?
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_OWL |= 내 금붕어한테서 멀리 떨어뜨려줘.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_OWL |= 나도 기계 부엉이를 키운 적이 있어.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_OWL |= 이상한 동물이야!
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_OWL |= 저거 전설의 필리프리스인가?
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_OWL |= 자랑해!
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_OWL |= 나도 저거 하나 갖고 싶어.
CONTEXTDIALOGUE_GENERAL_ANIMAL_FOLLOWING_OWL |= 무슨 일을 해?
CONTEXTDIALOGUE_GENERAL_SHOP_OWNED |= 가게를 샀구나? 행운을 빌어.
CONTEXTDIALOGUE_GENERAL_SHOP_OWNED |= 가게를 소유하려면 돈이 있어야 하지.
CONTEXTDIALOGUE_GENERAL_SHOP_OWNED |= 기업가군, 네?
CONTEXTDIALOGUE_GENERAL_SHOP_OWNED |= 가게를 운영하는 건 힘든 일이야, 그렇지?
CONTEXTDIALOGUE_GENERAL_SHOP_OWNED |= 장사는 어때?
CONTEXTDIALOGUE_GENERAL_SHOP_OWNED |= 장사는 잘 돼?
CONTEXTDIALOGUE_GENERAL_TOILET_OCCUPIED_NPC |= 바빠!
CONTEXTDIALOGUE_GENERAL_TOILET_OCCUPIED_NPC |= 이봐! 저리 가!
CONTEXTDIALOGUE_GENERAL_TOILET_OCCUPIED_NPC |= 한 번에 하나씩.
CONTEXTDIALOGUE_GENERAL_TOILET_OCCUPIED_NPC |= 이 화장실은 우리 둘이 쓰기엔 너무 작아.
CONTEXTDIALOGUE_GENERAL_TOILET_OCCUPIED_NPC |= 난 지금 기분이 안 좋아.
CONTEXTDIALOGUE_GENERAL_TOILET_OCCUPIED_NPC |= 이미 가져갔어!
CONTEXTDIALOGUE_GENERAL_TOILET_OCCUPIED_NPC |= 나중에 다시 와. 저라면 훨씬 나중에 올거야.
CONTEXTDIALOGUE_GENERAL_TOILET_OCCUPIED_NPC |= 맙소사! 내가 뭘 먹었지?!
CONTEXTDIALOGUE_GENERAL_TOILET_OCCUPIED_NPC |= 저건 초록색인가?
CONTEXTDIALOGUE_GENERAL_TOILET_OCCUPIED_NPC |= 나뭇잎 한 잎이나 열 잎 좀 줄래?
CONTEXTDIALOGUE_GENERAL_TOILET_OCCUPIED_NPC |= 지금은... 말할... 수 없어... 지금은....
CONTEXTDIALOGUE_GENERAL_TOILET_OCCUPIED_NPC |= 이봐, 나 여기 있어!
CONTEXTDIALOGUE_GENERAL_GREETING_RIVALS |= 안 돼, 넌 안 돼.
CONTEXTDIALOGUE_GENERAL_GREETING_RIVALS |= 반갑지 않군.
CONTEXTDIALOGUE_GENERAL_GREETING_RIVALS |= 으악.
CONTEXTDIALOGUE_GENERAL_GREETING_RIVALS |= 전염병처럼 널 피하고 있어!
CONTEXTDIALOGUE_GENERAL_GREETING_RIVALS |= 으악. 너구나.
CONTEXTDIALOGUE_GENERAL_GREETING_RIVALS |= 저리 가.
CONTEXTDIALOGUE_GENERAL_GREETING_RIVALS |= 나 갈게. 여기 악취가 심해.
CONTEXTDIALOGUE_GENERAL_GREETING_RIVALS |= 오, 이게 누군지 봐.
CONTEXTDIALOGUE_GENERAL_GREETING_RIVALS |= 무슨 냄새야?
CONTEXTDIALOGUE_GENERAL_GREETING_RIVALS |= 눈살을 찌푸리게 하네.
CONTEXTDIALOGUE_GENERAL_GREETING_FRIENDLY |= 오, 안녕!
CONTEXTDIALOGUE_GENERAL_GREETING_FRIENDLY |= 여신이 함께하길.
CONTEXTDIALOGUE_GENERAL_GREETING_FRIENDLY |= 반가워.
CONTEXTDIALOGUE_GENERAL_GREETING_FRIENDLY |= 어떻게 지내?
CONTEXTDIALOGUE_GENERAL_GREETING_FRIENDLY |= 안녕?
CONTEXTDIALOGUE_GENERAL_GREETING_FRIENDLY |= 반가워.
CONTEXTDIALOGUE_GENERAL_GREETING_FRIENDLY |= 잘 지내?
CONTEXTDIALOGUE_GENERAL_GREETING_FRIENDLY |= 오늘 기분 좋길 바라.
CONTEXTDIALOGUE_GENERAL_GREETING_FRIENDLY |= 잘 지내니?
CONTEXTDIALOGUE_GENERAL_GREETING_FRIENDLY |= 너에게 축복이 있기를.
CONTEXTDIALOGUE_GENERAL_GREETING_FRIENDLY |= 안녕!
CONTEXTDIALOGUE_GENERAL_GREETING_FRIENDLY |= 너와 너의 가족이 건강하길.
CONTEXTDIALOGUE_GENERAL_GREETING_FRIENDLY |= 오늘 하루도 축복받길.
CONTEXTDIALOGUE_GENERAL_GREETING_RESIDENT_TO_WANDERER |= 여행은 잘 하고 있어?
CONTEXTDIALOGUE_GENERAL_GREETING_RESIDENT_TO_WANDERER |= 우리의 안식처에 오신 것을 환영해.
CONTEXTDIALOGUE_GENERAL_GREETING_RESIDENT_TO_WANDERER |= 저 너머에서 온 이야기가 있을까?
CONTEXTDIALOGUE_GENERAL_GREETING_RESIDENT_TO_WANDERER |= 어떻게 지내?
CONTEXTDIALOGUE_GENERAL_GREETING_RESIDENT_TO_WANDERER |= 기쁨을 가져오는거야?
CONTEXTDIALOGUE_GENERAL_GREETING_RESIDENT_TO_WANDERER |= 다시 만나서 반가워.
CONTEXTDIALOGUE_GENERAL_GREETING_RESIDENT_TO_WANDERER |= 멀리 탐험한거야?
CONTEXTDIALOGUE_GENERAL_GREETING_RESIDENT_TO_WANDERER |= 발이 아프겠어!
CONTEXTDIALOGUE_GENERAL_GREETING_RESIDENT_TO_WANDERER |= 명소도 많이 가봤어?
CONTEXTDIALOGUE_GENERAL_GREETING_RESIDENT_TO_WANDERER |= 저 너머는 어때?
CONTEXTDIALOGUE_GENERAL_GREETING_RESIDENT_TO_WANDERER |= 어서 와, 방랑자.
CONTEXTDIALOGUE_GENERAL_GREETING_RESIDENT_TO_WANDERER |= 방랑자에게 인사올리지.
CONTEXTDIALOGUE_GENERAL_GREETING_RESIDENT_TO_WANDERER |= 안녕.
CONTEXTDIALOGUE_GENERAL_GREETING_RESIDENT_TO_WANDERER |= 여행 잘해.
CONTEXTDIALOGUE_GENERAL_GREETING_RESIDENT_TO_WANDERER |= 여신이 너의 여행을 축복하길.
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CHICKEN_LIKE |= 접시에 담을 준비가 된 것 같아.
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CHICKEN_LIKE |= 치-치-치-치-치킨.
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CHICKEN_LIKE |= 알 좀 낳아줘봐.
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CHICKEN_LIKE |= 저 꼬꼬댁을 좀 봐.
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CHICKEN_LIKE |= 수프에 들어가야겠지.
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CHICKEN_LIKE |= 저 닭의 주인이 누구지?
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CHICKEN_LIKE |= 아, 저 작은 엉덩이를 봐.
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CHICKEN_LIKE |= 난 깃털을 좋아해.
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CHICKEN_LIKE |= 나한테 꼬꼬거리지 마, 닭아.
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CHICKEN_LIKE |= 새가 노는 모습이 안 보여.
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CHICKEN_DISLIKE |= 저걸 내게서 멀리 떨어뜨려!
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CHICKEN_DISLIKE |= 에-추!
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CHICKEN_DISLIKE |= 난 닭이 싫어!
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CHICKEN_DISLIKE |= 망할 것! 쉬이!
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CHICKEN_DISLIKE |= 깃털 떨어지잖아!
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CHICKEN_DISLIKE |= 꺼져!
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CHICKEN_DISLIKE |= 저리 가!
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CHICKEN_DISLIKE |= 윽! 닭!
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CHICKEN_DISLIKE |= 아악!
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CAT_LIKE |= 아아, 귀여워!
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CAT_LIKE |= 푹신푹신!
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CAT_LIKE |= 저 고양이 좀 봐.
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CAT_LIKE |= 야아옹 애옹아!
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CAT_LIKE |= 와아아, 작은 고양이!
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CAT_LIKE |= 최근에 유령 본 적 있니?
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CAT_LIKE |= 고양이가 맞아.
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CAT_DISLIKE |= 쉬익 저리가!
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CAT_DISLIKE |= 저 고양이 저리 치워!
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CAT_DISLIKE |= 저리 가!
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CAT_DISLIKE |= 쉿!
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CAT_DISLIKE |= 고양이!
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CAT_DISLIKE |= 에에-에에-취!
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CAT_DISLIKE |= 나 고양이 너무 싫어!
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CAT_DISLIKE |= 그 털달린 녀석을 저리 치워.
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CAT_DISLIKE |= 고양이. 윽.
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CAT_DISLIKE |= 저리 꺼져, 모기같은 놈.
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CAT_DISLIKE |= 빵을 굽고 고양이는 사라져라.
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_CAT_DISLIKE |= 고양이 냄새가 나.
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_DOG_LIKE |= 예쁜 강아지가 있어!
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_DOG_LIKE |= 아가 이리와봐!
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_DOG_LIKE |= 정말 귀여운 강아지야.
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_DOG_LIKE |= 아, 나 개 좋아해.
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_DOG_LIKE |= 귀엽다!
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_DOG_LIKE |= 인간의 가장 친한 친구라고 하지.
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_DOG_LIKE |= 물어와! 농담이야. 난 던지는 애니메이션이 없어.
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_DOG_LIKE |= 저 개에게 뼈를 줘봐.
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_DOG_LIKE |= 개가 보물찾기를 잘하나?
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_DOG_LIKE |= 개가 물어?
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_DOG_LIKE |= 오오우, 누가 좋은 강아지야?
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_DOG_LIKE |= 저 꼬리 흔들는 것 좀 봐!
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_DOG_LIKE |= 개잖아!
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_DOG_DISLIKE |= 개는 재채기가 나게 만들어!
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_DOG_DISLIKE |= 이 똥개들 좀 치워줘, 친구.
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_DOG_DISLIKE |= 훠이 저리가 개야!
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_DOG_DISLIKE |= 난 개 냄새가 싫어!
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_DOG_DISLIKE |= 감히 날 핥지 마!
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_DOG_DISLIKE |= 넌 그냥 사냥개일 뿐이야!
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_DOG_DISLIKE |= 축축한 양말 냄새가 나. 아니면 개 냄새.
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_DOG_DISLIKE |= 나한테 꼬리 흔들지 마!
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_DOG_DISLIKE |= 끔찍한 동물이야.
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_DOG_DISLIKE |= 저 괴물을 내게서 멀리 떨어뜨려.
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_DOG_DISLIKE |= 똥개가 사라지는 물약이 필요해.
CONTEXTDIALOGUE_GENERAL_GREETING_ANIMAL_DOG_DISLIKE |= 갑자기 재채기가 나오려고 해.
CONTEXTDIALOGUE_GENERAL_TURN_LIGHT_ON |= 아아아, 이제 보여
CONTEXTDIALOGUE_GENERAL_TURN_LIGHT_ON |= 훨씬 낫네.
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_BAKEOFF |= 난 좋은 경쟁이 좋아.
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_BAKEOFF |= 올해는 같은 우승자가 나오지 않았으면 좋겠어.
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_BAKEOFF |= 단순히 실력이 아니라 어떤 아이템을 보여줘야 하는지 파악할 수 있을 만큼 지능적이어야 하지.
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_BAKEOFF |= 올해도 참가해야 할까?
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_BAKEOFF |= 벌써 출품작을 맛볼 수 있을 것 같아.
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_BAKEOFF |= 심사가 끝나고 나서도 식사가 남아있었으면 좋겠어.
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_BAKEOFF |= 나는 불에 태우지 않고는 요리를 잘하지 못해.
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_BAKEOFF |= 매년이 아니라 매해에 이걸 해야 해.
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_BAKEOFF |= 음식을 많이 사고 싶은 기분이 들어.
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_BAKEOFF |= 당첨된 응모작을 구매할 수 있을까?
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_BAKEOFF |= 흠, 이 냄새!
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_BAKEOFF |= 내가 사인을 좋아했다면 사인을 요청했을 거야.
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_BAKEOFF |= 이기기 위해서는 대단한 기술이 필요하겠군. 아니면 요리 뇌물도.
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_BAKEOFF |= 체력이 좋은 요리사는 멀리 갈 수 있지. 말 그대로.
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_FISHSHOW |= 흥미진진하네! 물고기를 잡아!
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_FISHSHOW |= 더 큰 낚싯대가 있다면 들어가고 싶어.
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_FISHSHOW |= 누가 가장 큰 물고기를 잡을지 궁금해.
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_FISHSHOW |= 낚시는 편리한 기술이지.
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_FISHSHOW |= 사람들이 잡은 물고기를 보는 게 좋아.
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_FISHSHOW |= 고도로 숙련된 어부가 승리할테지.
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_FISHSHOW |= 우승자를 파이로 구워줘? 내 말은, 물고기말야.
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_FISHSHOW |= 이 이벤트에 푹 빠졌어.
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_FISHSHOW |= 이 이벤트는 베이크 오프만큼 좋은 냄새가 나지 않아.
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_FISHSHOW |= 이기려고 허둥대지 마!
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_FLOWERSHOW |= 정말 좋은 향이야!
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_FLOWERSHOW |= 최고의 꽃을 보는 게 좋아.
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_FLOWERSHOW |= 밀가루 쇼인 줄 알았는데?
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_FLOWERSHOW |= 내 원예 실력이 좋았으면 좋겠어.
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_FLOWERSHOW |= 비밀은 흙에 있어, 알지?
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_FLOWERSHOW |= 누가 이길지 궁금해.
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_FLOWERSHOW |= 나는 꽃 전시회 스토커야.
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_FLOWERSHOW |= 수상작의 냄새를 맡고 싶어 죽겠어!
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_FLOWERSHOW |= 내 손가락은 초록색이 아니라 파란색이야.
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_FLOWERSHOW |= 아름다운 꽃!
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_JAMCONTEST |= 좋은 냄새가 나!
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_JAMCONTEST |= 나는 최고의 잼을 보는 걸 좋아해.
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_JAMCONTEST |= 잼이 맛있어 보여.
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_VEGSHOW |= 올해도 멋진 채소가 나왔네!
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_VEGSHOW |= 수상작들을 맛볼 수 있으면 좋겠어!
CONTEXTDIALOGUE_GENERAL_SPECIAL_TREE_DIALOGUE_VEGSHOW |= 사랑스러운 큰 채소!
