PIG_RACING |= 돼지 경주
GS_Bakery_Perk5Title |= 달콤한 유혹
GS_Bakery_Perk5Desc |= 계절 당 1회. 동일한 4별 제빵 아이템 3개를 연속으로 선물하면 '갈망' 이벤트가 발동합니다.

GS_Greengrocer_QualityGoods01Title |= 품질 좋은 상품 1
GS_Greengrocer_QualityGoods01Desc |= 오후에 5별 과일/채소를 먹으면 오후가 끝날 때까지 해당 아이템의 생산량이 늘어납니다.
GS_Greengrocer_QualityGoods02Title |= 품질 좋은 상품 2
GS_Greengrocer_QualityGoods02Desc |= 오후에 3성 과일/채소를 먹으면 오후가 끝날 때까지 해당 아이템의 생산량이 늘어납니다.
GS_Greengrocer_SocialMasterTitle |= 소셜 마스터
GS_Greengrocer_SocialMasterDesc |= 가십 특성을 지닌 직원은 매출 4분의 1에 대해 100% 팁을 얻습니다.
GS_Greengrocer_FreshProduceTitle |= 신선한 농산물
GS_Greengrocer_FreshProduceDesc |= 낫으로 아이템 10개를 수확하면 남은 하루 동안 플레이어와 직원의 거래에 +2가 적용됩니다.
GS_Greengrocer_Perk5Title |= 성장의 즐거움
GS_Greengrocer_Perk5Desc |= 계절 당 1회. 동일한 4별 과일/채소 5개를 선물하면 '땡땡' 이벤트가 발동됩니다.

AP_Herbalist_Botanist01Title |= 식물학자 1
AP_Herbalist_Botanist01Desc |= 동일한 퀼 꽃/허브를 연속으로 따면 수확량이 +1 증가합니다.
AP_Herbalist_Botanist02Title |= 식물학자 2
AP_Herbalist_Botanist02Desc |= 동일한 페이 꽃/허브를 연속으로 따면 수확량이 +1 증가합니다.
AP_Herbalist_HerbMasterTitle |= 허브 마스터
AP_Herbalist_HerbMasterDesc |= 소화 특성이 있는 직원이 판매 4건 중 1건에서 100% 팁을 얻습니다.
AP_Herbalist_NaturesOfferingTitle |= 자연이 제공하는 것
AP_Herbalist_NaturesOfferingDesc |= 부작용으로 인한 평판 손실을 절반으로 줄입니다.
AP_Herbalist_Perk5Title |= 만개
AP_Herbalist_Perk5Desc |= 계절 당 1회. 동일한 4별 꽃 5개를 연속으로 선물하면 '꽃피우기' 이벤트가 발생합니다.

AP_Exotic_EveningHunt01Title |= 저녁 사냥 1
AP_Exotic_EveningHunt01Desc |= 저녁 시간에는 일반 몬스터의 드랍량이 +1 증가합니다.
AP_Exotic_EveningHunt02Title |= 저녁 사냥 2
AP_Exotic_EveningHunt02Desc |= 저녁 시간에는 희귀 몬스터의 드랍량이 +1 증가합니다.
AP_Exotic_BeastMasterTitle |= 비스트 마스터
AP_Exotic_BeastMasterDesc |= 용감함 특성이 있는 직원은 판매 4건 중 1건에 대해 100% 팁을 받습니다.
AP_Exotic_ImmunityTitle |= 면역
AP_Exotic_ImmunityDesc |= 플레이어에게 축복받음 특성을 활성화하면 부작용으로 인해 잃는 평판이 절반으로 감소합니다.
AP_Exotic_Perk5Title |= 피의 욕망
AP_Exotic_Perk5Desc |= 계절 당 1회. 동일한 4별 등급 몬스터 부속물 5개를 연속으로 선물하면 그날 밤 '블러드 문' 이벤트가 시작됩니다.

AP_Potion_Preparation01Title |= 준비 1
AP_Potion_Preparation01Desc |= 저녁에 제작하는 3별 등급 이하의 물약은 수확량이 두 배로 증가합니다.
AP_Potion_Preparation02Title |= 준비 2
AP_Potion_Preparation02Desc |= 저녁에 제작하는 모든 별 등급의 물약은 생산량이 두 배로 증가합니다.
AP_Potion_PotionMasterTitle |= 포션 마스터
AP_Potion_PotionMasterDesc |= 질병 방지 특성이 있는 직원은 판매 4건 중 1건에 대해 100% 팁을 받습니다.
AP_Potion_PotionAgingTitle |= 물약 숙성
AP_Potion_PotionAgingDesc |= 저장된 치료제를 사용하여 부작용으로 인한 평판 손실을 절반으로 줄입니다.
AP_Potion_Perk5Title |= 심기증 환자.
AP_Potion_Perk5Desc |= 계절 당 1회. 동일한 4별 물약 3개를 선물하면 '전염병' 이벤트가 발동합니다.

BS_Weapons_MuscleMemory01Title |= 근육 기억 1
BS_Weapons_MuscleMemory01Desc |= 퀼 광석으로 검, 망치, 와드를 연속으로 제작하면 생산량이 두 배로 증가합니다.
BS_Weapons_MuscleMemory02Title |= 근육 기억 2
BS_Weapons_MuscleMemory02Desc |= 페이 광석으로 검, 망치, 와드를 연속으로 제작하면 생산량이 두 배로 증가합니다.
BS_Weapons_WeaponsMasterTitle |= 웨폰 마스터
BS_Weapons_WeaponsMasterDesc |= 강인함 특성이 있는 직원은 판매 4건 중 1건에 대해 100% 팁을 받습니다.
BS_Weapons_WeaponsExpertTitle |= 무기 전문가
BS_Weapons_WeaponsExpertDesc |= 적 10명을 처치하면 고객이 서비스를 받기 위해 기다릴 수 있는 시간이 늘어납니다.
BS_Weapons_Perk5Title |= 군비 경쟁
BS_Weapons_Perk5Desc |= 계절 당 1회. 동일한 4별 무기 3개를 연속으로 선물하면 '유행' 이벤트가 발동됩니다.

BS_Tool_Perk1Title |= 열심히 일하는 자 1
BS_Tool_Perk1Desc |= 퀼 광석을 연속으로 사용하여 동일한 도구 유형을 제작하면 생산량이 +1 증가합니다
BS_Tool_Perk2Title |= 열심히 일하는 자 2
BS_Tool_Perk2Desc |= 페이 광석을 연속으로 사용하여 동일한 도구 유형을 제작하면 생산량이 +1 증가합니다.
BS_Tool_ToolsMasterTitle |= 툴 마스터
BS_Tool_ToolsMasterDesc |= 지능 특성이 있는 직원은 판매 4건 중 1건에 대해 100% 팁을 받습니다.
BS_Tool_ToolsExpertTitle |= 도구 전문가
BS_Tool_ToolsExpertDesc |= 도구로 10개 품목을 수확하여 고객이 하루 동안 서비스를 받기 위해 기다리는 시간을 늘릴 수 있습니다.
BS_Tool_Perk5Title |= 워커홀릭
BS_Tool_Perk5Desc |= 계절 당 1회. 동일한 4별 도구 3개를 연속으로 선물하면 '유행' 이벤트가 발동됩니다.

BS_Jewelry_PrecisionWork01Title |= 정밀작업 1
BS_Jewelry_PrecisionWork01Desc |= 매일 처음으로 채굴되는 페이 광석의 생산량은 +3입니다.
BS_Jewelry_PrecisionWork02Title |= 정밀작업 2
BS_Jewelry_PrecisionWork02Desc |= 매일 채굴되는 처음 3개의 페이 광석은 +3의 생산량을 생성합니다.
BS_Jewelry_CharmMasterTitle |= 참 마스터
BS_Jewelry_CharmMasterDesc |= 매력 특성이 있는 직원은 판매 4건 중 1건에서 팁을 100% 받습니다.
BS_Jewelry_CharmExpertTitle |= 매력 전문가
BS_Jewelry_CharmExpertDesc |= 고객이 하루 동안 서비스를 받기 위해 대기하는 시간을 늘립니다.
BS_Jewelry_Perk5Title |= 스타일리스트
BS_Jewelry_Perk5Desc |= 계절 당 한 번. 동일한 4별 장신구/부적 3개를 연속으로 선물하면 '유행' 이벤트가 발동합니다.

InstantMessageDate |= 2시간 안에 <VAR1>와(과) 데이트하기
InstantMessageMarriage |= 오늘 오후 1시 이전에 결혼하기
InstantMessageBaby |= 아기가 도착했습니다!
InstantMessageTimedDelivery |= <VAR1>의 식사 배달
InstantMessageChickenAuction |= 닭 경매, 페스트필드, 오전 10시
InstantMessagePigAuction |= 돼지 경매, 페스티벌 그린, 오전 10시
InstantMessageSheepAuction |= 양 경매, 파인페어, 오전 10시
InstantMessageChickenRacing |= 닭 경주, 페스트필드, 오전 9시
InstantMessagePigRacing |= 돼지 경주, 페스티벌 그린, 오전 9시
InstantMessageSheepRacing |= 양 경주, 파인페이어, 오전 9시
InstantMessageBakeOff |= 베이크 오프
InstantMessageFishingCompetition |= 낚시 대회
InstantMessageFlowerShow |= 꽃 전시회
InstantMessageVegetableShow |= 채소 전시회
InstantMessageBlossomDance |= 2시간 동안 블로섬 댄스
InstantMessageFestivalofFelDance |= 2시간 동안 지옥 댄스 축제
InstantMessageMaypoleDance |= 2시간 동안 메이폴 댄스
InstantMessageSamainDance |= 2시간 동안 사마인 댄스
InstantMessageCabaretdeFae |= 카바레 뒤 파에 개장, 티르 나 노그
InstantMessageStockwood |= 스톡우드 열림, 에르그린
InstantMessageChickenMigration |= 파인 페어의 닭 이주
InstantMessageFredBarleycorn |= 섬머다운의 프레드 바리콘
InstantMessageSpiritWalk |= 묘지에서의 영혼 산책
InstantMessageBloodMoon |= 오늘 밤의 블러드 문
InstantMessageEclipse |= 일식 시작
InstantMessageFishFrenzy |= <VAR1>의 물고기 광란
InstantMessageFlowerBloom |= <VAR1>에 꽃 피우기
InstantMessageInsectSwarm |= <VAR1>의 곤충 떼
InstantMessageMushroomSporing |= <VAR1>의 버섯 포자
InstantMessageOreRush |= <VAR1>의 광석 러시
InstantMessageCraving |= <VAR1>에서 <VAR2> 갈망
InstantMessageEpidemic |= <VAR2>의 <VAR1> 전염병
InstantMessageFad |= <VAR1>에서 <VAR2> 유행
InstantMessageStockLow |= <VAR1>의 재고 부족
InstantMessageStockEmpty |= <VAR1>에 판매할 재고가 없음

FadBucket |= 양동이
FadJewellery |= 장신구
FadShovel |= 삽
FadSickle |= 낫
FadSword |= 검
FadWard |= 와드
FadCharm |= 부적
FadHammer |= 망치
FadDecorative |= 장식
FadUtensil |= 식기


InstantMessageSecondDate |= 지금 바로 <VAR1>과 데이트하세요!
InstantMessageSecondMarriage |= 2시간 이내에 결혼하세요!
InstantMessageSecondBaby |= <VAR1>이 수집한 아기
InstantMessageSecondTimedDelivery |= 식사 배달, 1시간 남음
InstantMessageSecondChickenAuction |= 닭 경매 시작
InstantMessageSecondPigAuction |= 돼지 경매 시작
InstantMessageSecondSheepAuction |= 양 경매 시작
InstantMessageSecondChickenRacing |= 닭 경주 시작
InstantMessageSecondPigRacing |= 돼지 경주 시작
InstantMessageSecondSheepRacing |= 양 경주 시작
InstantMessageSecondBakeOff |= 1시간 후 베이크 오프 출품작 마감
InstantMessageSecondFishingCompetition |= 1시간 후 낚시 대회 참가 신청 마감
InstantMessageSecondFlowerShow |= 1시간 후 꽃 전시회 참가 마감
InstantMessageSecondVegetableShow |= 1시간 후 채소 전시회 참가 마감
InstantMessageSecondBlossomDance |= 블로섬 댄스 시작
InstantMessageSecondFestivalofFelDance |= 지옥 댄스 축제 시작
InstantMessageSecondMaypoleDance |= 메이폴 댄스 시작
InstantMessageSecondSamainDance |= 사마인 댄스 시작
InstantMessageSecondFishFrenzy |= 물고기 광란 종료
InstantMessageSecondFlowerBloom |= 꽃 피우기 종료
InstantMessageSecondInsectSwarm |= 곤충 떼 종료
InstantMessageSecondMushroomSporing |= 버섯 포자 종료
InstantMessageSecondOreRush |= 광석 러시 종료
InstantMessageSecondCraving |= 갈망 종료
InstantMessageSecondEpidemic |= 전염병 종료
InstantMessageSecondFad |= 유행 종료
InstantMessageFnFBuildFinished |= <VAR1> 완료
InstantMessageFnFBuildStalled |= <VAR1> 멈춤!

UI_Perk_Activated |= 특전 활성화됨

Text_TU_Name_Fishmonger |= 생선 가게
Text_TU_Name_Bakery |= 제빵소
Text_TU_Name_Greengrocer |= 청과상
Text_TU_Name_Herbalist |= 약초상
Text_TU_Name_ExoticCures |= 이국적인 치료상
Text_TU_Name_PotionShop |= 물약 상점
Text_TU_Name_WeaponsStore |= 무기 상점
Text_TU_Name_ToolShop |= 도구 상점
Text_TU_Name_JewelryStore |= 장신구 상점
Skill_EXTRA_PET |= 애완동물 추가 스킬 획득! <Info about skill goes here>

UI_NoKey |= NO TEXT KEY

UI_Pet_Dog |= 개
UI_Pet_Cat |= 고양이
UI_Pet_Chicken |= 닭
UI_Pet_Pig |= 돼지
UI_Pet_Sheep |= 양
UI_Pet_Ewe |= 암양
UI_Pet_Ram |= 숫양
UI_Pet_Bumba |= 범바블룹프눕
UI_Pet_Fili |= 필리프리스

UI_Unavailable |= 사용할 수 없음
UI_OK |= OK
UI_Yes |= 네
UI_Disable |= 비활성화
UI_No |= 아니오
UI_Later |= 나중에
UI_Continue |= 계속하기
UI_Begin |= 시작하기
UI_Stop |= 멈춤
UI_Finish |= 끝내기
UI_Apply |= 적용
UI_Back |= 돌아가기
UI_Delete |= 삭제
UI_None |= 없음
UI_Buy |= 구매
UI_Trade |= 거래
UI_BuyCost |= 구매 ☎<VAR1>
UI_BrassNumber |= ☎<VAR1>
UI_Assign |= 할당
UI_Play |= 시작
UI_Next |= 다음
UI_Confirm |= 확인
UI_Exit |= 나가기
UI_Leave |= 떠나기
UI_Stay |= 남기
UI_Help |= 도움
UI_Dispose |= 폐기
UI_Cancel |= 취소
UI_Skip |= 넘기기
UI_Set |= 설정
UI_Close |= 닫기
UI_Choose |= 선택
UI_Accept |= 수락
UI_AcceptPrizes |= 상품 받기
UI_Add |= 더하기
UI_Health |= 건강
UI_Give |= 주기
UI_Take |= 받기
UI_Decline |= 거절
UI_Save |= 저장
UI_Clone |= 복제
UI_Craft |= 제작
UI_CraftCost |= 제작 ☎️<VAR1>
UI_Use |= 사용
UI_Enter |= 입장
UI_Unknown |= 알 수 없음
UI_Min |= 최소
UI_Max |= 최대
UI_OpenVerb |= 열기
UI_RewardNoun |= 보상
UI_Unlock |= 잠금 해제
UI_Cost |= 비용
UI_Release |= 놓아주기
UI_Equip |= 장비
UI_Filter |= 필터
UI_Eat |= 먹기
UI_Hold |= 잡기
UI_Drop |= 떨어뜨리기
UI_Replace |= 교체
UI_Store |= 보관
UI_Throw |= 던지기
UI_PutAway |= 치우기
UI_Dismount |= 내리기
UI_HoldButton |= 잡기
UI_PressButton |= 누르기
UI_DirLeft |= 왼쪽
UI_DirRight |= 오른쪽
UI_Autosave |= 자동 저장
UI_Var |= <VAR1>
UI_Build |= 건축
UI_LockedFeature |= 아직은 사용할 수 없습니다.
UI_LockedFeatureNeedFamily |= 이것을 사용하려면 가족이 필요합니다.

UI_CannotChangeItem |= 이 아이템은 변경할 수 없습니다.
UI_CannotAfford |= 이것을 감당할 수 없습니다.
UI_KeyNeeded |= 이 문을 열려면 <VAR1>이(가) 필요합니다.
UI_NothingToCollect |= 수집할 것이 없습니다.
UI_NothingToCollect_Curdled |= 저주 - 수집할 것이 없습니다.
UI_WoodenBucketCantCollect |= 수집할 수 없습니다.
UI_PetDeath |= <VAR1>이(가) 이 차원을 떠났습니다.
UI_PetDeathMultiple |= 다음 동물들이 이 차원을 떠났습니다.
UI_InspectingGadgetNoItemsLeft |= 특성을 발견할 아이템이 남아 있지 않습니다.
UI_InspectingGadgetDiscoverItems |= 새로운 아이템을 검색하여 특성을 발견하세요.
UI_InspectingGadgetCooldown |= 가젯의 재사용 대기 시간은 <VAR1>시간입니다.

UI_PickupType_MADE_BREAD |= 빵
UI_PickupType_MADE_JAM |= 잼
UI_PickupType_MADE_PIES |= 파이
UI_PickupType_MADE_PUDDING |= 푸딩
UI_PickupType_MADE_SANDWICH |= 샌드위치
UI_PickupType_MADE_SOUP |= 수프
UI_PickupType_MADE_STEW |= 스튜
UI_PickupType_MADE_POWDER |= 파우더
UI_PickupType_MADE_CREAM |= 크림
UI_PickupType_MADE_POTION |= 물약

UI_Craft_Button |= <VAR1> 제작
UI_Craft_Contest |= 입장

UI_AlreadyFertilisedWarning |= 이미 수정됨
UI_AlreadyRipeWarning |= 이미 익음
UI_Campfire |= 어른이 되면 잠을 잘 때 이것을 사용하세요
UI_NoContainerWarning |= 채울 것이 없습니다.\n기존 용기를 비우거나 새 용기를 찾아야 합니다!

UI_CompleteAdjective |= 완성

UI_OpenAdjective |= 열기
UI_Closed |= 닫기

UI_Abbreviation_FriendshipPoints |= FP
UI_Abbreviation_ExperiencePoints |= XP
UI_Abbreviation_GrandmasterPoints |= REP
UI_Abbreviation_Points |= <VAR1> 포인트

UI_hour |= 시간
UI_Hour |= 시간
UI_Day |= 일
UI_year |= 년
UI_years |= 년
UI_Year |= 년
UI_SeasonYear |= <VAR2> 년, <VAR1>

UI_HowMany |= 얼마나?
UI_NPCInfo |= NPC 정보
UI_AnimalInfo |= 동물 정보
UI_ItemInfo |= 아이템 정보

UI_ShopSpecialisation_Fishmonger |= 생선 가게
UI_ShopSpecialisation_Bakery |= 제빵소
UI_ShopSpecialisation_Greengrocer |= 청과상
UI_ShopSpecialisation_Herbalist |= 약초상
UI_ShopSpecialisation_ExoticCures |= 이국적인 치료상
UI_ShopSpecialisation_PotionShop |= 물약 상점
UI_ShopSpecialisation_WeaponsStore |= 무기 상점
UI_ShopSpecialisation_ToolShop |= 도구 상점
UI_ShopSpecialisation_JewelryStore |= 장신구 상점

UI_Stats_Accuracy |= 명중
UI_Stats_Barter |= 거래
UI_Stats_Charm |= 매력
UI_Stats_Constitution |= 체질
UI_Stats_Intelligence |= 지능
UI_Stats_Speed |= 속도
UI_Stats_Stamina |= 체력
UI_Stats_Strength |= 힘
UI_Stats_Toughness |= 강인함
UI_Stats_Virility |= 활력
UI_StatsDescPlayer_Accuracy |= 전투 치명타 확률\n대장간 제작에 도움이 됩니다.
UI_StatsDescPlayer_Barter |= 거래에 도움이 됩니다
UI_StatsDescPlayer_Charm |= FP 획득\nREP 손실 상쇄
UI_StatsDescPlayer_Constitution |= 일부 적 공격에 대한 전투 저항\n약재상 제작에 도움이 됩니다.
UI_StatsDescPlayer_Intelligence |= 샌드박스 XP 획득 증가\n무기 XP 획득 증가\n약재상 제작에 도움
UI_StatsDescPlayer_Speed |= 이동 속도\n전투 패리 시간 증가
UI_StatsDescPlayer_Stamina |= 전투 중 체력 재생 속도
UI_StatsDescPlayer_Strength |= 전투 피해 증폭기\n대장장이 모루 타격량
UI_StatsDescPlayer_Toughness |= 막은 적의 공격으로 인해 받는 피해를 감소
UI_StatsDescPlayer_Virility |= 아기를 가질 확률이 높아짐
UI_StatsDesc_Accuracy |= 작업에서 제작할 때 아이템의 별 등급이 높아짐
UI_StatsDesc_Barter |= 더 나은 거래를 얻을 기회
UI_StatsDesc_Charm |= 작업 시 REP 획득률 감소
UI_StatsDesc_Constitution |= 더 높은 별 등급으로 치료제를 제작할 확률
UI_StatsDesc_Intelligence |= 가족 명령으로 얻는 경험치 획득량\n작업 경험치 획득량\n약재상 치료법 개선 확률 증가
UI_StatsDesc_Speed |= 이동 속도\n고객 응대에 소요되는 시간 단축
UI_StatsDesc_Stamina |= 작업 중 에너지 낭비 줄이기
UI_StatsDesc_Strength |= 대장장이 제작 개선 확률
UI_StatsDesc_Toughness |= 집결 전투에서 피해를 무효화하는 데 도움
UI_StatsDesc_Virility |= 생각 및 수행 능력
UI_Stats_Age |= 나이
UI_Stats_Birthday |= 생일
UI_Stats_Mood |= 기분
UI_Stats_Mood_Bad |= 나쁨
UI_Stats_Mood_Neutral |= 평온함
UI_Stats_Mood_Good |= 좋음
UI_Stats_Mood_Excellent |= 최고

UI_Stats_MoreInfo |= <ui_alt2> 추가 정보

UI_NoWorkers |= 고용할 직원이 없음
UI_NoWorkersDesc |= 해당 지역의 마을 사람들과 대화하여 직원으로 고용할 수 있도록 하세요.

UI_Map_Exits |= 지역 출구
UI_Map_Locations |= 위치
UI_Map_Homes |= 집
UI_Map_DateSpots |= 데이트 장소
UI_Map_Underground |= 사용 가능한 지도가 없습니다
UI_Map_MapStones |= <VAR1>/<VAR2> 맵스톤을 찾았습니다
UI_Map_MapChoice |= 지도
UI_Map_CustomisationChoice |= 커스터마이징
UI_Map_ZoneLocked |= 소유하지 않음

UI_Adoption_Title |= 입양
UI_Adoption_AskAdopt |= 이 아이를 입양할까요?
UI_Adoption_AdoptAction |= 입양하기
UI_Adoption_NameText |= 이 아이의 이름이 무엇인가요?
UI_Successor_Title |= 후계자 선택
UI_Successor_Title_NoChildren |= 당신은 아이가 없습니다, 고아를 선택하세요
UI_Successor_AskChoose |= <VAR1> 선택할까요?
UI_Successor_AskChooseNoName |= 이 아이

UI_Combat_Start |= 시작
UI_Combat_Warning |= 전투 방법을 배우지 않고 숲에 들어가고 싶으신가요? 조곤은 모험에 도움이 되는 필수 능력을 가르쳐줄 수 있습니다.
UI_Combat_AutoEquip |= 자동 장비
UI_Combat_ClearEquip |= 클리어
UI_Combat_ViewAllLoot |= 모든 전리품 보기
UI_Combat_CampfireText |= 캠프파이어를 피우고 식사를 하세요. 휴식을 취하면 훨씬 더 깊은 숲 속을 헤매게 될 것입니다...
UI_Combat_LightCampfire |= 모닥불 피우기
UI_Combat_DeathRevive |= 전투에서 쓰러지면 죽음을 맞이하게 됩니다.\n그러나 이것이 끝은 아닙니다.\n이번에는 당신을 부활시키겠지만, 기회를 다 써버리면 대가를 치르게 될 것입니다.
UI_Combat_DeathTax |= 전투에서 쓰러지면 죽음을 맞이하게 되지만, 세금에 추가됩니다.\n힘과 강인성, 장비를 강화하는 것이 좋습니다.
UI_Combat_InstantDeathTax |= 전투에서 쓰러지면 죽음이 곧 당신입니다.\n 내가 당신을 되살리겠지만, 당신의 세금에 추가될 것입니다.
UI_Combat_AdventureComplete |= 모험 완료
UI_Combat_TimeTaken |= <VAR1> 시간 소요됨
UI_Combat_OneArrow |= 화살 1개 수집
UI_Combat_Arrows |= <VAR1>개 화살 수집됨
UI_Combat_ScavengeArrow |= 화살 1개 회수됨
UI_Combat_ArrowsMax |=  - 화살 가득참
UI_Combat_Deeper |= 더 깊이
UI_Combat_LeaveForest |= 탈출
UI_Combat_Continue |= 계속
UI_Combat_ConfirmLeave |= 전리품을 가지고 숲을 떠나시겠습니까?
UI_Combat_AlreadyUsedEffigy |= 당신은 이미 이 여신을 불렀습니다.
UI_Combat_NotHaveEffigy |= <VAR1>을(를) 가지고 있지 않습니다.
UI_Combat_Druida |= 거대한 과일의 비는 적중한 모든 적에게 피해를 줍니다.
UI_Combat_Freyl |= 덩굴은 모든 적을 붙잡고 능력치를 소모하여 그들을 약하게 만듭니다.
UI_Combat_Morwenna |= 짓밟는 동물 무리를 소환하여 모든 적을 처치하세요.
UI_Combat_Hyalis |= 삶과 죽음의 저울은 당신을 치유하거나 모든 적에게 100의 피해를 줍니다.
UI_Combat_Naida |= 무작위 적 한 명을 무해한 허수아비로 변신시켜 공격할 수 있습니다.
UI_Combat_Aurore |= 번개는 자연의 힘으로 적을 불태웁니다.
UI_Combat_Effigies |= 우상
UI_Combat_Effigies_Info |= 조곤을 찾아가 '여신의 힘' 스킬을 잠금 해제하고 이 강력한 전투 부스트를 사용하세요. 좋은 기술입니다!
UI_Combat_EffigiesHowTo |= 조각상을 사용하여 500HP 피해를 입히고 여신을 소환합니다.
UI_Combat_RequireWeapon |= 검을 장비해야 합니다
UI_Combat_Loadout_Help |= 전투 장비 화면입니다.\n여기에서 최대 2개의 무기, 와드와 부적, 애완동물, 캠프파이어용 식사를 선택할 수 있습니다.\n준비가 완료되면 시작을 누르세요.\n숲에는 10개의 깊이가 있습니다.\n깊이가 깊어질수록 더 어려워지지만 별 등급 전리품을 얻을 수 있습니다.\nUI의 오른쪽 상단에 있는 표시기를 통해 현재 있는 방과 깊이를 확인할 수 있습니다. 15개의 방과 10단계의 깊이가 있습니다.\n구조 임무는 항상 어떤 깊이의 마지막 방에서 진행되므로 도중에 어떤 전리품을 원하는지에 따라 달라집니다.\n캠프파이어는 몸을 치유하지만 3단계 더 깊게 이동합니다.\n전투 후 전리품을 그대로 두고 후퇴할 수 있습니다.\n죽으면 획득한 전리품의 일부를 얻지만 기회를 잃게 됩니다. 기회를 모두 사용하면 부활하는 데 1년의 생명력이 소모되므로 주의하세요!
UI_Combat_ExpectedDamage |= 일반적인 피해: <VAR1>
UI_Combat_UpDown |= <VAR1> 및 <VAR2>
UI_Combat_StartDepth |= 시작 깊이
UI_Combat_Level |= 레벨 <VAR1>
UI_Combat_MinRating |= 최저 평점
UI_Combat_MaxRating |= 최고 평점
UI_Combat_PotentialLoot |= 획득가능한 전리품
UI_Combat_Chances |= <VAR1> 기회
UI_Combat_CombatChances |= 전투 기회
UI_Combat_StartDepthIncrease |= 숲 속 깊은 곳으로 모험을 떠났습니다.\n이 숲은 이제 깊이 <VAR1>에서 입장할 수 있습니다!

UI_Combat_Enemy_Hob |= 홉
UI_Combat_Enemy_Lob |= 롭
UI_Combat_Enemy_Nob |= 놉
UI_Combat_Enemy_Nymph |= 님프
UI_Combat_Enemy_ForestHag |= 숲 할망
UI_Combat_Enemy_EliteForestHag |= 정예 숲 할망
UI_Combat_Enemy_Croaker |= 크로커
UI_Combat_Enemy_Fachen |= 파첸
UI_Combat_Enemy_GreaterNob |= 위대한 놉
UI_Combat_Enemy_Spriggan |= 스프리건
UI_Combat_Enemy_WaterHag |= 물 할망
UI_Combat_Enemy_EliteFachen |= 정예 파첸
UI_Combat_Enemy_EliteWaterHag |= 정예 물 할망
UI_Combat_Enemy_Barghest |= 바르게스트
UI_Combat_Enemy_Remnant |= 렘넌트
UI_Combat_Enemy_Ogyr |= 오기르
UI_Combat_Enemy_Banshee |= 밴시
UI_Combat_Enemy_NightHag |= 밤 할망
UI_Combat_Enemy_EliteOgyr |= 정예 오기르
UI_Combat_Enemy_EliteBanshee |= 정예 밴시
UI_Combat_Enemy_EliteNightHag |= 정예 밤 할망

UI_Combat_Minigame_Mushrooms |= 패턴 기억하기
UI_Combat_Minigame_Well |= 브라스를 던지고 소원을 빌어보세요...
UI_Combat_Minigame_Statues |= 조각상을 파괴하세요

UI_Combat_Pet_Cat |= •플레이어 지능 +1\n•할망 체력 -2\n•할망 강인함 -2\n•할망 체질 -2\n•할망, 밴시 및 렘넌트로부터 두 배의 전리품을 얻을 확률
UI_Combat_Pet_Dog |= •플레이어 체력 +1\n•짖음으로써 몬스터를 기절시킴
UI_Combat_Pet_Pig |= •플레이어 강인함 +1\n•피해를 입히고 체력을 감소시키는 느린 몬스터
UI_Combat_Pet_Ewe |= •몬스터를 잠들게 할 수 있으며 체력 -3 유발합니다.
UI_Combat_Pet_Ram |= •몬스터에게 돌진하여 피해를 입히고 강인함 -3을 발생시킵니다.
UI_Combat_Pet_Bumba |= •플레이어의 체력을 5-10 회복\n•플레이어 강인함 +2 
UI_Combat_Pet_Fili |= •플레이어 체질 +2\n•장애물 노드를 제거합니다.
UI_Combat_Pet_NotSuitable |= <VAR1>은(는) 전투에 적합하지 않습니다.

UI_HonestyBoxMoney |= ☎<VAR1> 수집됨
UI_Reward_PerStarRating |= <VAR1> 당 ★
UI_Reward_SecretCode |= 비밀 암호:
UI_Reward_SecretCodeReward |= 비밀 암호
UI_Reward_Reward |= 보상:
UI_Reward_MoneyScaledByUnknownGiftedItems |= ☎<VAR1> x 아이템 가치
UI_Reward_MoneyScaledByRatingRange |= ☎<MIN>-<MAX>
UI_Reward_MoneyScaledByRatingRange_Desc |= \n별점을 높이려면 추가 비용을 지불합니다.

UI_Info_Likes |= <VAR1>이(가) <VAR2>을(를) 좋아합니다.
UI_Info_Dislikes |= <VAR1>이(가) <VAR2>을(를) 싫어합니다.
UI_Info_Trait |= 특성
UI_Info_Rating |= 별 등급 조건 발견
UI_Info_Birthday |= <VAR1>의 생일을 알아냈습니다.
UI_Info_FriendshipUp |= 우정 등급 증가
UI_Info_FriendshipDown |= 우정 등급 감소
UI_Info_ShopDelivery |= 상점 배송
UI_Info_ShopDeliveryOverflow |= 저장공간이 가득 차서 가방으로 보냈습니다.

UI_ConvertItemUpInRating |= <VAR1>을(를) <VAR2> 별에서 <VAR3> 별으로 변환하시겠습니까? (변환할 때마다 아이템 3개 사용)
UI_Seed_Convert |= 썩은 사과를 변환하시겠습니까?
UI_Seed_NeedApples |= 변환할 썩은 사과가 없습니다.

UI_Whistle_Summon |= 소환
UI_Whistle_Stay |= 머물기
UI_Whistle_Home |= 집으로 가기
UI_Whistle_Sell |= 판매
UI_Whistle_Select |= 선택
UI_Whistle_SelectNone |= 없음 선택
UI_Whistle_NoPets |= 애완동물이 없습니다.
UI_Whistle_Fullness |= 가득참
UI_Whistle_NotHappy |= <VAR1>은(는) 기분이 아닙니다.

UI_MusicBox_SetYears |= 연령 설정:
