WFIntroT1 |= 여기 있었구나!
RootmotherOutroT7 |= Now, children, say thank you to the kind soft one, and do not run off again my naughty little sprouts!
Day9DreamT1 |= We know you. We can see your potential. Become who you were born to be. Join us, and the universe will be yours to explore.
Day9DreamT2 |= Time will bend itself to your every whim. Quill will be yours to shine upon like the stars.
Day9DreamT3 |= We will be watching you. Watching. Look deep into the Mirryr and find us...
NedDay14T1 |= You lucky hare! You got to choose the Herald! I just had to come and say well done.
NedDay14T2 |= I saw that <VAR1> was upset, but they will come around. It is just how things are.
NedDay14T3 |= I would love to be a Herald one day. It is the greatest honour. I would love to see inside Opal.
NedDay14T4 |= Anyway just wanted to say that everyone is proud of you, and I see you in a new light.
NedDay14T5 |= Best get off, evening time. There's a bit of a strange look to the sky tonight, but I have a good feeling about it.
NedDay14T6 |= Take care!
NPCStory_Intro_LucyArrowsT1 |= This way, oh hi, oh hi
NPCStory_Intro_LucyArrowsT2 |= What in Quill is that?! Coming through that door?
NPCStory_Intro_LucyArrowsT3 |= Oh, hi.
NPCStory_Intro_LucyArrowsT4 |= Oh hi.
NPCStory_Intro_LucyArrowsT5 |= It's off to shop to buy.
LucyArrowsStoryOutroT1 |= Oh my! It's a Gnome! A real-life little Gnome! It is an honour to meet you! My name is Lucy Arrows.
LucyArrowsStoryOutroT2 |= I have so many questions!
LucyArrowsStoryOutroT3 |= ... that all sounds really bizarre. Almost like you made it up. Are you sure you are a legitimate Gnome, not just a short old guy in a hat?
LucyArrowsStoryOutroT4 |= Anyway, thanks for the chat. I think my Gnome obsession has been quenched!
PottAdultIntroT1 |= Welcome home, dreaming one,\nName is Pott, recall our fun?
PottAdultIntroT2 |= I once asked you questions deep,\nLong ago, when ye did sleep.
PottAdultIntroT3 |= Lost your kin, but don't be glum,\nA legacy is yet-to-come.
PottAdultIntroT4 |= The farm is yours and I your friend,\nWill dust the hearth and beds to mend.
PottAdultIntroT5 |= What next for you, I would guess?\nYou've seen the door, so seek it yes?
PottAdultIntroT6 |= North Gate beckons, and the world outside,\nAdventures many and pigs to ride.
PottAdultIntroT7 |= Learn 5 skills, and do it quick,\nBridges to build and dreams to fix.
PottAdultIntroT8 |= And also build those ties that last, \nWith Friends & Family to help with task.
PottAdultIntroT9 |= But first, you have the Kynseed gotten,\nPlant it now lest it be rotten.
PottAdultIntroT10 |= Grow the tree and roots so deep,\nA legacy that will f'rever keep.
KynseedPlantingT1 |= Kynseed planted! Oh joyous time!\nNow listen to my little rhyme.
KynseedPlantingT2 |= Seek Master Jogon, past the gate,\nWhere you find that Herbert waits.
KynseedPlantingT3 |= The Master will teach an important skill,\nThe art of blades and how to kill.
KynseedPlantingT4 |= After that, he'll point the way,\nSo b'gger off! Be on yer way!
PottINTRO |= What next for you, I would guess?\nYou've seen the door, so seek it yes?\nNorth Gate beckons, and the world outside,\nAdventures many and pigs to ride.
PottINTRO |= Learn 5 skills, and do it quick,\nBridges to build and dreams to fix.\nAnd also build those ties that last, \nWith Friends & Family to help with task.
AdoptionInLevelT1 |= Thank you for picking me!
