FNF_CIRCLE_SOUTH_BRIDGE_NAME |= Circle South Bridge
FNFCONVERSATION_CRYPT_END_4 |= A musical ghost would be the worst!
FNFCONVERSATION_CRYPT_END_5 |= Almost ready for the reveal.
FNFCONVERSATION_CRYPT_END_5 |= I'll get the ribbon.

FNFCONVERSATION_GODDESS_STATUE_START_1 |= Who did this?
FNFCONVERSATION_GODDESS_STATUE_START_1 |= We must fix it up!
FNFCONVERSATION_GODDESS_STATUE_START_2 |= Bless our Goddesses.
FNFCONVERSATION_GODDESS_STATUE_START_2 |= They will appreciate this.
FNFCONVERSATION_GODDESS_STATUE_MIDDLE_1 |= Be careful not to crack any stone.
FNFCONVERSATION_GODDESS_STATUE_MIDDLE_1 |= This job is actually terrifying.
FNFCONVERSATION_GODDESS_STATUE_MIDDLE_2 |= Beautiful carving there.
FNFCONVERSATION_GODDESS_STATUE_MIDDLE_2 |= Thanks! I practice on pork joints.
FNFCONVERSATION_GODDESS_STATUE_MIDDLE_3 |= That engraving is coming along nicely.
FNFCONVERSATION_GODDESS_STATUE_MIDDLE_3 |= Cheers! Takes a steady hand.
FNFCONVERSATION_GODDESS_STATUE_MIDDLE_4 |= We will make them proud.
FNFCONVERSATION_GODDESS_STATUE_MIDDLE_4 |= They deserve quality craftsmanship.
FNFCONVERSATION_GODDESS_STATUE_MIDDLE_5 |= A great idea to fix these.
FNFCONVERSATION_GODDESS_STATUE_MIDDLE_5 |= Handy for the fast traveller too!
FNFCONVERSATION_GODDESS_STATUE_MIDDLE_6 |= No slacking! The Goddesses are watching!
FNFCONVERSATION_GODDESS_STATUE_MIDDLE_6 |= I only dozed off for a moment!
FNFCONVERSATION_GODDESS_STATUE_END_1 |= This is looking wonderful.
FNFCONVERSATION_GODDESS_STATUE_END_1 |= It's just like the original asset.
FNFCONVERSATION_GODDESS_STATUE_END_2 |= I can feel the power within.
FNFCONVERSATION_GODDESS_STATUE_END_2 |= That's just what you ate.
FNFCONVERSATION_GODDESS_STATUE_END_3 |= Lovely work all around.
FNFCONVERSATION_GODDESS_STATUE_END_3 |= We did a fine job.
FNFCONVERSATION_GODDESS_STATUE_END_4 |= How do we get the travel bit to work?
FNFCONVERSATION_GODDESS_STATUE_END_4 |= Turn it off and on again?
FNFCONVERSATION_GODDESS_STATUE_END_5 |= Beautiful!
FNFCONVERSATION_GODDESS_STATUE_END_5 |= Thanks! Oh, the statue, not me.

FNFCONVERSATION_STONE_BRIDGE_START_1 |= This is going to be an epic build.
FNFCONVERSATION_STONE_BRIDGE_START_1 |= Heavy work, for sure.
FNFCONVERSATION_STONE_BRIDGE_START_2 |= It would help if I liked heights.
FNFCONVERSATION_STONE_BRIDGE_START_2 |= I am scared of widths!
FNFCONVERSATION_STONE_BRIDGE_START_3 |= Have we got enough stone for this?
FNFCONVERSATION_STONE_BRIDGE_START_3 |= Yeah, and plenty of scaffolds.
FNFCONVERSATION_STONE_BRIDGE_START_4 |= This will be very convenient.
FNFCONVERSATION_STONE_BRIDGE_START_4 |= About time someone fixed it.
FNFCONVERSATION_STONE_BRIDGE_START_5 |= This is quite the project!
FNFCONVERSATION_STONE_BRIDGE_START_5 |= We can do it! Believe!
FNFCONVERSATION_STONE_BRIDGE_START_6 |= The things we do for love.
FNFCONVERSATION_STONE_BRIDGE_START_6 |= It's good to build bridges.
FNFCONVERSATION_STONE_BRIDGE_START_7 |= Heave-ho!
FNFCONVERSATION_STONE_BRIDGE_START_7 |= I'm trying!
FNFCONVERSATION_STONE_BRIDGE_START_8 |= Let's get that scaffold up.
FNFCONVERSATION_STONE_BRIDGE_START_8 |= And don't look down.
FNFCONVERSATION_STONE_BRIDGE_MIDDLE_1 |= I love the sound of rushing water.
FNFCONVERSATION_STONE_BRIDGE_MIDDLE_1 |= Soothing when you aren't hanging over it.
FNFCONVERSATION_STONE_BRIDGE_MIDDLE_2 |= I've lost a stone.
FNFCONVERSATION_STONE_BRIDGE_MIDDLE_2 |= Diet going well then?
FNFCONVERSATION_STONE_BRIDGE_MIDDLE_3 |= This water is troubled.
FNFCONVERSATION_STONE_BRIDGE_MIDDLE_3 |= That's why we need a bridge over it.
FNFCONVERSATION_STONE_BRIDGE_MIDDLE_4 |= Let's sing a song while we work.
FNFCONVERSATION_STONE_BRIDGE_MIDDLE_4 |= Let's not.
FNFCONVERSATION_STONE_BRIDGE_MIDDLE_5 |= Watch that stone.
FNFCONVERSATION_STONE_BRIDGE_MIDDLE_5 |= Why? What is it doing?
FNFCONVERSATION_STONE_BRIDGE_MIDDLE_6 |= I need a rest.
FNFCONVERSATION_STONE_BRIDGE_MIDDLE_6 |= No rest for the wicked!
FNFCONVERSATION_STONE_BRIDGE_MIDDLE_7 |= Do you think this is strong enough?
FNFCONVERSATION_STONE_BRIDGE_MIDDLE_7 |= It better be!
FNFCONVERSATION_STONE_BRIDGE_MIDDLE_8 |= I am enjoying all your company.
FNFCONVERSATION_STONE_BRIDGE_MIDDLE_8 |= Building our friendship, eh?
FNFCONVERSATION_STONE_BRIDGE_MIDDLE_9 |= We need some better structure.
FNFCONVERSATION_STONE_BRIDGE_MIDDLE_9 |= Perhaps a whiteboard or plank?
FNFCONVERSATION_STONE_BRIDGE_MIDDLE_10 |= This builds character.
FNFCONVERSATION_STONE_BRIDGE_MIDDLE_10 |= You are a character.
FNFCONVERSATION_STONE_BRIDGE_END_1 |= Finally! Nearly done!
FNFCONVERSATION_STONE_BRIDGE_END_1 |= We did a great job together.
FNFCONVERSATION_STONE_BRIDGE_END_2 |= This should be one great reveal.
FNFCONVERSATION_STONE_BRIDGE_END_2 |= Need bigger scissors for that ribbon!
FNFCONVERSATION_STONE_BRIDGE_END_3 |= Soon, we might see animals crossing.
FNFCONVERSATION_STONE_BRIDGE_END_3 |= That would be fun.
FNFCONVERSATION_STONE_BRIDGE_END_4 |= We have almost done it.
FNFCONVERSATION_STONE_BRIDGE_END_4 |= Just the polishing phase.
FNFCONVERSATION_STONE_BRIDGE_END_5 |= Are we in bug fixing now?
FNFCONVERSATION_STONE_BRIDGE_END_5 |= Yes. Get the insects off that stone.
FNFCONVERSATION_STONE_BRIDGE_END_6 |= Fancy a game of bridge?
FNFCONVERSATION_STONE_BRIDGE_END_6 |= Oh! Snap!
FNFCONVERSATION_STONE_BRIDGE_END_7 |= This is an amazing structure.
FNFCONVERSATION_STONE_BRIDGE_END_7 |= We did ourselves proud.
FNFCONVERSATION_STONE_BRIDGE_END_8 |= It was exhausting but wonderful.
FNFCONVERSATION_STONE_BRIDGE_END_8 |= You all did a sterling job.
FNFCONVERSATION_STONE_BRIDGE_END_9 |= Great work! And none of us are engineers.
FNFCONVERSATION_STONE_BRIDGE_END_9 |= Which is why I hope it stays up.

FNFCONVERSATION_GREENHOUSE_START_1 |= Let's get cracking. Not the glass.
FNFCONVERSATION_GREENHOUSE_START_1 |= Yeah, be careful!
FNFCONVERSATION_GREENHOUSE_START_2 |= This is a delicate job, for sure.
FNFCONVERSATION_GREENHOUSE_START_2 |= That's why I brought my thick gloves.
FNFCONVERSATION_GREENHOUSE_START_3 |= Anyone got a measuring stick?
FNFCONVERSATION_GREENHOUSE_START_3 |= How long is a piece of string?
FNFCONVERSATION_GREENHOUSE_START_4 |= This will combine beauty and utility.
FNFCONVERSATION_GREENHOUSE_START_4 |= I thought you said futility then.
FNFCONVERSATION_GREENHOUSE_START_5 |= Make friends to get friends to make.
FNFCONVERSATION_GREENHOUSE_START_5 |= That's the way to do it!
FNFCONVERSATION_GREENHOUSE_MIDDLE_1 |= I need a cup of herbal tea already.
FNFCONVERSATION_GREENHOUSE_MIDDLE_1 |= I don't know how you can drink nettle tea.
FNFCONVERSATION_GREENHOUSE_MIDDLE_2 |= These windows are a pane.
FNFCONVERSATION_GREENHOUSE_MIDDLE_2 |= Smashing joke there.
FNFCONVERSATION_GREENHOUSE_MIDDLE_3 |= We must be careful with this glass.
FNFCONVERSATION_GREENHOUSE_MIDDLE_3 |= You are a stone's throw from smashing it.
FNFCONVERSATION_GREENHOUSE_MIDDLE_4 |= This is growing well.
FNFCONVERSATION_GREENHOUSE_MIDDLE_4 |= Haha!
FNFCONVERSATION_GREENHOUSE_MIDDLE_5 |= I love working with you. Such skill!
FNFCONVERSATION_GREENHOUSE_MIDDLE_5 |= I am a touch of glass, for sure.
FNFCONVERSATION_GREENHOUSE_END_1 |= I needed this structure in my life.
FNFCONVERSATION_GREENHOUSE_END_1 |= May it continue to grow.
FNFCONVERSATION_GREENHOUSE_END_2 |= It does get really hot in here!
FNFCONVERSATION_GREENHOUSE_END_2 |= I know! I am red as a tomato!
FNFCONVERSATION_GREENHOUSE_END_3 |= Just got to clean the glass, and good to go!
FNFCONVERSATION_GREENHOUSE_END_3 |= We did a fine job this day.

FNFCONVERSATION_FAE_GREENHOUSE_START_1 |= Interesting job, this one.
FNFCONVERSATION_FAE_GREENHOUSE_START_1 |= Yes. Strange design!
FNFCONVERSATION_FAE_GREENHOUSE_START_2 |= Shall we get going?
FNFCONVERSATION_FAE_GREENHOUSE_START_2 |= Suppose so. Where to start?
FNFCONVERSATION_FAE_GREENHOUSE_MIDDLE_1 |= This is coming along well.
FNFCONVERSATION_FAE_GREENHOUSE_MIDDLE_1 |= Agreed. Snack break?
FNFCONVERSATION_FAE_GREENHOUSE_MIDDLE_2 |= We are making good time.
FNFCONVERSATION_FAE_GREENHOUSE_MIDDLE_2 |= I have lost all concept of that.
FNFCONVERSATION_FAE_GREENHOUSE_MIDDLE_3 |= How are you doing over there?
FNFCONVERSATION_FAE_GREENHOUSE_MIDDLE_3 |= Not bad, thanks. Getting somewhere.
FNFCONVERSATION_FAE_GREENHOUSE_MIDDLE_4 |= Careful with that glass pane.
FNFCONVERSATION_FAE_GREENHOUSE_MIDDLE_4 |= They are really heavy!
FNFCONVERSATION_FAE_GREENHOUSE_END_1 |= Well, this looks bloody good.
FNFCONVERSATION_FAE_GREENHOUSE_END_1 |= I know! They will love it.
FNFCONVERSATION_FAE_GREENHOUSE_END_2 |= It's an odd construct but beautiful.
FNFCONVERSATION_FAE_GREENHOUSE_END_2 |= Very au Fae, whatever that means.
FNFCONVERSATION_FAE_GREENHOUSE_END_3 |= I need a bath after this.
FNFCONVERSATION_FAE_GREENHOUSE_END_3 |= I need two!
FNFCONVERSATION_FAE_GREENHOUSE_END_4 |= Do you have the ribbon?
FNFCONVERSATION_FAE_GREENHOUSE_END_4 |= I think it's under that thingy.

FNFCONVERSATION_ALTAR_START_1 |= Should be a quick job.
FNFCONVERSATION_ALTAR_START_1 |= Hopefully. I have stuff to do.
FNFCONVERSATION_ALTAR_START_2 |= This will look great.
FNFCONVERSATION_ALTAR_START_2 |= And be very useful!
FNFCONVERSATION_ALTAR_MIDDLE_1 |= Ouch! Dropped a stone on my foot.
FNFCONVERSATION_ALTAR_MIDDLE_1 |= Careful, clumsy.
FNFCONVERSATION_ALTAR_MIDDLE_2 |= My carving skills are improving.
FNFCONVERSATION_ALTAR_MIDDLE_2 |= Yes, I can see that. Nice.
FNFCONVERSATION_ALTAR_MIDDLE_3 |= This will be beautiful.
FNFCONVERSATION_ALTAR_MIDDLE_3 |= Truly worthy of our Goddesses.
FNFCONVERSATION_ALTAR_MIDDLE_4 |= How are you faring?
FNFCONVERSATION_ALTAR_MIDDLE_4 |= Just chiselling this bit.
FNFCONVERSATION_ALTAR_END_1 |= This is looking great!
FNFCONVERSATION_ALTAR_END_1 |= We did a fine job this day.
FNFCONVERSATION_ALTAR_END_2 |= Don't altar anything else. Perfect!
FNFCONVERSATION_ALTAR_END_2 |= Just needs a bit of paint there.
FNFCONVERSATION_ALTAR_END_3 |= Bless this altar.
FNFCONVERSATION_ALTAR_END_3 |= And it will bless us!

FNFCONVERSATION_CHICKEN_COOP_START_1 |= Let's do this!
FNFCONVERSATION_CHICKEN_COOP_START_1 |= Yeah!
FNFCONVERSATION_CHICKEN_COOP_START_2 |= Let's get cracking.
FNFCONVERSATION_CHICKEN_COOP_START_2 |= Was that a pun?
FNFCONVERSATION_CHICKEN_COOP_MIDDLE_1 |= Need more nails.
FNFCONVERSATION_CHICKEN_COOP_MIDDLE_1 |= I just cut mine.
FNFCONVERSATION_CHICKEN_COOP_MIDDLE_2 |= I'm board.
FNFCONVERSATION_CHICKEN_COOP_MIDDLE_2 |= Haha! Love a good pun.
FNFCONVERSATION_CHICKEN_COOP_END_1 |= It's almost ready.
FNFCONVERSATION_CHICKEN_COOP_END_1 |= This looks great!
FNFCONVERSATION_CHICKEN_COOP_END_2 |= Chickens will love this.
FNFCONVERSATION_CHICKEN_COOP_END_2 |= Am not sure they judge aesthetics.

CyrilIntro |= Greetings to you. My name is Cyril, and I am the clerk, secretary, administrator, officiator or whatever you wish to call it, for this humble emergency shelter. Please be respectful of the rules here, which are located in the handbook. You will need form N1-CE-2CU to apply to view the handbook.
CyrilIntro |= Well, what is the shelter, I hear you ask? As duty officer, I shall tell you!
CyrilIntro |= This building used to be the Village Hall, but it has been repurposed to house those displaced by the terrible increase in Hob attacks.
CyrilIntro |= If someone's house is ruined by those wayward monsters, they can stay here until it is repaired.
CyrilIntro |= Thinking of it, you look pretty useful; you should volunteer to help them out and get a working party together to fix their homes up.
CyrilIntro |= Friendly villagers will gladly help you rebuild the smashed wood and shattered windows. Just utilise the signposts in front of the damaged buildings.
CyrilIntro |= We have branches in Candlewych Village, Outlane and Naida's Glory, so feel free to drop in and say hello and see if any unfortunate people need aid.
CyrilIntro |= Goodbye, and please wipe your feet next time.
CyrilIntroRepeat |= Greetings again. I am here and at our other branches until all this Hob and scary monster fuss is over. I was assigned this task by the powers that be. I love it as I spend all day administering forms, organising files, changing sheets and doing my angrywords.
CyrilIntroRepeat |= Angrywords? It's like a very tough crossword... which I am trying to finish if you have no other business.
CyrilIntroRepeat |= Farewell!
CyrilIntroShort |= I can't talk now; I am in the middle of a profound puzzle. Why don't you see if anyone needs help?
