SiblingReturnFromTomb |= You stood on the stone circle, and the door opened?! A tomb? Grandmasters? A mirror? Jabberwock!
TourGuideIntro |= Welcome, Felchild!
TourGuideIntro |= My name is Gladys. And you are <PlayerName>? I am the official tour guide for this beautiful land. 
TourGuideIntro |= Why don't you have a look around? I will happily tell you more. I don't get to do this often, so I would appreciate the practice! I have one job, and the only visitors I get are Fairies wearing beards and Gnomes wearing fake wings.
TourGuideLocation1 |= This is a Yum tree. Here, you can collect the wondrous delicacy we call Yum. The tree has stood here for as long as Gnomes have sat by ponds. The woodland around it was grown from the seeds of falling stars, so they say.
TourGuideLocation2 |= This is our Fairy Fountain. You can collect Cleansing Water here. It is very refreshing. They say the water is the saliva of the Fae Goddesses. Tasty.
TourGuideLocation2 |= Interact with it, and if you have an empty jar or metal bucket, you can take your fill of the purest water.
TourGuideLocation3 |= This is the bustling centre of Tir Na Nog. You can shop at Pixie Lottery's store or visit our tall Tinker. There is plenty for everyone to do, providing you enjoy limited shopping and changing your business specialisation.
TourGuideLocation4 |= In this cave is a little grotto where one can mine Luminium. It's a light ore, literally. Anything you make with it glows. It's a relatively strong metal. Our Tinker once made me a toilet seat from it so I could go in the night and see what I was doing.
TourGuideLocation5 |= Inside that door, you will find Gnome Edmunds. He runs the local gaming establishment. You pop realistic-looking balloons to win prizes. It's a party house! I wouldn't swap it for a shop, and I am out of references.
WitchhunterTotemOutro |= Nicely done with that evil Totem. I'd keep your eyes peeled for them, or listen out for hints, watch Noticeboards, etc. I am sure they will turn up again somewhere, but for now, you gave those buggers a taste of Mr Stabs.
WitchhunterTotemOutro |= We will meet again. Now, while I am here, I want to get some tips from Mr Marshtyt for my pansies...
PlotsBlockageCleared |= Glad that blockage is gone.
PlotsBlockageCleared |= Cheers for clearing that mess up, <PlayerName>.
PlotsBlockageCleared |= I can finally get back to pranking.

PaigeLyricIntro |= Ahh! They said you would come, the spirits in my dreams. You must be <PlayerName>.
PaigeLyricIntro |= I am Paige, and some say I am the local smarty pants of Woemarsh. We need your help with a problem, but before I can even begin to tell you more, this unnatural fog needs to be lifted so we can safely navigate the marsh.
PaigeLyricIntro |= I once saw a fog such as this cleared by Lyric. She's a reclusive music maker, and I was astonished to see her blow some sort of musical instrument which made the mists vanish instantly! She was so cool! She even gave me a beautiful lute signed with her name. 
PaigeLyricIntro |= You should seek her out. She lives in the Ferrous Footway. I'm needed here, else I would do it myself. 
PaigeLyricIntro |= Perhaps the lute she gave me may help you unlock doors with her? She might think you are a fan of hers. 
PaigeLyricGoAway |= You need to be going the other way, back to The Shingles.
PaigeClearedFog |= That's the instrument I saw Lyric use - the fog clearing one! Now we can get to Frogmarsh and the Dreadwaters' gate. Meet me there when you are ready. If you go to Copperpot first, just be warned that the folks there are a bit moody, but that's the problem I want you to help us with. See you in Frogmarsh... just go up, then straight up again!
LyricINTRO |= Rock on! You found a way to open the door. That's, like, totally mallow. Cleudos.
LyricINTRO |= I'm Lyric, THE musical superstar. As you might guess, I'm not from Quill. When I say star, I mean it, dud.
LyricINTRO |= I just love loud, thrashing music. Check out my posters of my most favourite bands - Eviticus, Dracthonia and Apex Croissant. Yeahhh! 
LyricINTRO |= Anyway, what is so spooky that you thrummed your way into here to see me?
LyricINTRO |= Fog?
LyricINTRO |= Oh, those 'noying foggo's. Yeah, they can be a real downer.
LyricINTRO |= What you need is my Calmonica, dud.
LyricINTRO |= Tell you what. You plink out a few strums with me, and I'll give it to you. Get your lute out, dud, and let's shrift!

LyricINTROSHORT |= Rock on! You found a way to open the door. That's, like, totally mallow. Cleudos.
LyricINTROSHORT |= I'm Lyric, THE musical superstar. As you might guess, I'm not from Quill. When I say star, I mean it, dud.
LyricINTROSHORT |= I just love loud, thrashing music. Check out my posters of my most favourite bands - Eviticus, Dracthonia and Apex Croissant. Yeahhh!

LyricIntroRepeat |= Tell you what. You plink out a few strums with me, and I'll give it to you. Get your lute out, dud, and let's shrift!
LyricLutePlayed |= That is radioactive playing, dud. Like, my ears are seriously throbbing. Corking.
LyricLutePlayed |= As promised, here's the Calmonica. Blow some sweet tunes out of that, and any weather will calm right the flump down.
LyricLutePlayed |= Come see me again, sometime, dud. I will try and make up even more weird words and phrases to confuse you. *wink*
LyricRockIntro |= Wooah dude! If it isn't <PlayerName>. Do you always answer every call for help?
LyricRockIntro |= While searching for good rock, I heard some gnarly drums in Deep Mine. I have heard those beats before, and my investigations led me to discover that it was the one and only Axel Grease! He was the most excellent drummer of all time and part of the heavy rock titans called 'Thunderblast Exorcism'. Legend says that they broke up, but on the night of their comeback reunion, they were all tragically killed by lightning. Quite frightening.
LyricRockIntro |= Something must have stirred their resting spirits if they are back playing again. Maybe that monster you are chasing around after. The Jabberwock, right? Well, the dead are afoot; we must defoot them and return them to the afterlife.
LyricRockIntro |= Anyway, I searched for Axel, but I couldn't find the source. Probably because he's dead. Dead good!
LyricRockIntro |= You have various trinkets that might help - and I thought you might like to help me out. We need to reunite the band and lay the restless dead back to rest!
AxelIntro |= Hey, man! Nice to see you! Amazed you can see me!
AxelIntro |= I'm Axel Grease! YEEAAAAHHHH! I'm the drummer of Thunderblast Exorcism. Well, I was.
AxelIntro |= Something woke me up, and now all the other dead folk are awake and whining and moaning, so I came here to drown out their wails with some tip-top tapping.
AxelIntro |= What's that you say? A reunion to exorcise the angry spirits? Count me in! A one-two-three!
AxelIntro |= If you want to find the other guys, you might need to listen out for their playing. I'd try Mellowmine. Jammy used to love the acoustics in there. So mellow!
AxelIntro |= The boys are coming back! Rock on!
JammyIntro |= Heyyy! Yeah, I'm Jammy. Nice to meet you, man.
JammyIntro |= I was the guitarist of Thunderblast Exorcism. My licks could make the ladies scream!
JammyIntro |= I was playing up a storm when an actual storm struck. Shock and roll, man!
JammyIntro |= Anyway, I was chilling in peace when suddenly, I wasn't. Something bad is out there, man. Stirring up us dead dudes. Bad juju!
JammyIntro |= Band reunion? Exorcism? Woooahh! I'd be really into that.
JammyIntro |= So you spoke to Axel, and he's up for it? Then you need to go find Chez Long, real name Malcolm Trowel.
JammyIntro |= He was the lead singer of the band. Last I heard, he was getting inspiration from the dead in the Burial Grounds in the Vale. Look for an old crypt. Good luck, man!
ChezIntro |= Gore blimey mate! You surprised me there!
ChezIntro |= Yeah, I'm Chez, what of it? I don't do autographs, but seeing as I haven't met a fan in a thousand years or more, where's your pen?
ChezIntro |= You aren't the sort of fan I am used to. In my heyday, it was all leather. Basically, old people.
ChezIntro |= What's that you say? A reunion? With the band? 
ChezIntro |= Sounds absolutely right up my alley, mate! You'll need to find a stage worthy of such rock gods though! Just find the place, and we'll be there, mate.
ChezIntro |= Let's turn it up to 12!
LyricFixStage |= You got the band back together! Rock on! They are going to love playing a live gig again. The audience will all be technically dead, mind you, but you and I count as living, right?! Let's ride the lightning!
LyricFixStage |= So, we need a venue eh? Well, in FestField there's just the place.
LyricFixStage |= Sadly, it's still broken from my last concert there. Let's just say something heavy and metallic dropped through it.
LyricFixStage |= Once fixed, it's all set for midnight on Goddess Day. Weeeaarrggghhh! It's going to be framptious!
LyricFixStage |= Be there or be a 4-sided shape! Now go fix the stage!
LyricRockConcertIntro |= You came! Though, you could have dressed up for it, like put on a pair of pants so tight you can barely walk. Anyhow, let's get this show on the white stone path!

BrambleIntro1 |= Hmmm ho! Well, well, well. He said you would come, hmmm? It is a pleasure to make your acquaintance, Seedling.
BrambleIntro1 |= I am the Bramble King, and this is my Lady, the Queen of Thorns. Hmmm.
BrambleIntro2 |= A pleasure to make your acquaintance. You have interesting water within you. We know everything about you. Your quest is noble. Just be careful of the shadows. Stay in the light whenever you can.
BrambleIntro2 |= Please enjoy your visit here. Do not listen too closely to the music of the deep forest, nor drink the waters of our fountains, though. One such as yourself should avoid such temptations.
BrambleIntro3 |= There is a shop to the north and a glade of Shadderwryth to the east. We also have a market, hmmm, but a token is needed. We Mossmen and Dryads do like to shop, hmmm. We sometimes might even visit Quill.
BrambleIntro4 |= You should also go and see the Rootmother. She is to the east, in the directions that you humans use. To us, she is rootward, but then again, every direction is rootward.
BrambleIntro4 |= Go now, seedling. May your branches grow long and your buds blossom.

BrambleRepeatKing |= There is a shop to the north and a glade of Shadderwryth to the east. We also have a market, hmmm, but a token is needed. We Mossmen and Dryads do like to shop, hmmm. We sometimes might even visit Quill.
BrambleRepeatQueen |= You should also go and see the Rootmother. She is to the east, in the directions that you humans use. To us, she is rootward, but then again, every direction is rootward.

RootMotherSleeping |= Zzzzzzzz.
FoundGreenChild |= 아하, 네가 날 찾았어!

LyricVoideIntro |= 우우우와아! 돌아온 걸 환영해, 친구.
LyricVoideIntro |= How's it been hanging since we last spoke? I have been hanging some stellar tunes!
LyricVoideIntro |= 메테오리트 에?
LyricVoideIntro |= I used to have a load, but I traded them in for my amps. Sorry dude!
LyricVoideIntro |= I know where you can get more, but you will have to travel pretty far and face off with the worst monster ever... my Dad.
LyricVoideIntro |= Yeah, he probably has what you need to fix that bridge... Just be warned, he is a TOTALLY TOTAL TWERPILICIOUS TWERP.
LyricVoideIntro |= You will need the Cosmic Bell to get his attention. Go to the very top of Voide and ring it. He can hear it in any dimension, era or star system. Use it, and he will appear. He moves pretty fast when there's money to be made.
LyricVoideIntro |= Just don't mention me AT ALL. He is such a complete pig trotter.
LyricVoideIntro |= Now, excuse me, dude, I gotta go get rid of my Dad headache with extremely loud music!
JackIntro |= 벨을 누르셨고 제가 왔습니다!
JackIntro |= 오! 새 손님이 왔군! 이런 곳에서 흔히 볼 수 있는 고객은 아니지만, 내 상품은 아무도 판단하지 않지.
JackIntro |= 내 이름은 잭... 만물상 잭이야.
JackIntro |= 거래는 내 사업이고 사업은 좋지!
JackIntro |= 나는 안목 있는 고객을 위해 은하계 및 차원간 거래 서비스를 제공하지.\n너는 그것을 원해; 문자 그대로의 갈고리나 문자 그대로의 도둑질을 통해 얻을 수 있지.
JackIntro |= I have a retail store on Peckham IV and various warehouses from Saturn to the 5th dimension.\nI've been in business since the dawning of the Age of Aquarius.\nMy clients include Gods and Demons, amoebas and timedukes, titans and thimblefolk.
JackIntro |= I take cash, credit card, Nebuline or souls. Pan-galactic Express? That'll do nicely. That always triggers a nice response from me.
JackIntro |= In your case, Brass is acceptable, mainly because it is in high demand by the Brasseaters of IBS Major. 
JackIntro |= Now then, what can I do you for?
JackIntroRepeat |= Greetings again! What may I do for you this fine cosmic day?

Ghost1PH |= Ohhhh! Beware! You come to seek the mould. A fearsome creature guards it. I have one of the code numbers you need to access the key from the chest! My compatriots will tell you more about 'her'. Trouble lies ahead.
Ghost1PH |= My number for you is 6. Beware! Ohhhh!
Ghost2PH |= So, you met the first of us and want my code? You should know what you are getting yourself in for! The three of us were adventurers long ago and were trying to uncover the tomb's treasures. After much searching, we found the key and entered. Inside, we came across a sarcophagus, which we carefully prised open. Within, we found 'her'. She was asleep. Garth went to take a closer look and... well, let's say we are where we are. Dead.
Ghost2PH |= Garth can tell you more. My code number for you is 6. Take great heed!
Ghost3PH |= So, you have spoken to my comrades. Yes, I was the stupid one that woke her. Do not go near her unless you are prepared... and can run quickly!
Ghost3PH |= There is a way to banish her, as written in a book we put in the chest with the tomb key. If only I had not been greedy and forgotten what we needed to do... well... then it would be a different story.
Ghost3PH |= Take my code number... 8. The whole number is 668, the number of the Beast's mum.
Ghost3PH |= The creature. She is a foul and evil being. Be strong! Stay true to your goal! Focus!
Ghost3PH |= Good luck, friend.

MoonAwaitingMeleeComplete |= Greetings. I am Moon, the Master Archer. My comrade-in-arms, Jogon, said you would come. You should probably go and complete his training first. I will be here, awaiting your next step.
SiblingDay6 |= It's a special day today. It's Uncle Bill's birthday. We are going on a family picnic! How exciting!
SiblingDay6 |= We are off to Cuckoo Wood. Meet us there at noon!
UncleBillMissedPicnic |= Oh. I am a bit sad you couldn't attend my birthday picnic, but I understand if you were busy. It would have been lovely to share that with you, that's all.
SiblingMissedPicnic |= Where were you? You missed it! You couldn't find your bottom with an atlas at times. I could tell Uncle Bill was sad about it, but we had a great time without you anyway. You need to just think of others sometimes. Or get a better dandelion!


Uncle BillINTRO |= 아! <PlayerName>. 거기있었구나! 잘 적응하고 있니? 집안일이 귀찮지 않길 바란다. 나는 예전만큼 젊지 않아서 모든 것을 스스로 할 수 없어. 곧 여름이 다가오니 축제를 준비해야 할 것 같아.
Uncle BillINTRO |= 진행 상황 화면에서 모든 진행 상황을 확인할 수 있단다. 지금 살펴보는 건 어떠니?

BillAfterProgress |= 받아들여야 할 것이 많다는 것을 안다. 서두를 필요는 없다는 것만 기억해. 인생을 마음대로 누리렴. 시간은 우리 모두를 따라잡을 수는 있지만 아주 느리게 흘러가는 것이니 스트레스 받지 말고 마음껏 인생을 살아보거라. 이모가 매일 그렇게 말하곤했지. 자, 이제 시작하자. 막히면 일시 정지 메뉴의 힌트 및 팁과 많은 화면의 왼쪽 상단에 도움말 버튼이 있단다.
HubbardCabbageSeed |= 양배추가 필요하다면 이 씨앗을 사용해 양배추를 재배해보렴. 원한다면 내 작물 밭을 자유롭게 사용해. 짜잔!

UncleDay12 |= Summertide is nearly here. It's very exciting! It is when all the Vale community gather to celebrate our beloved Goddesses, especially our patron, Druida.
UncleDay12 |= I was thinking that we should do more for the community. There are some derelict houses around, in Cuckoo Wood and Cowpat Farm.
UncleDay12 |= Why don't you and some friends start to make them liveable again? New people might then appear, and with new faces comes new opportunities. Friendships, maybe even romance *wink*. No marrying 'til after you are 18, though! Ha ha! 

ProgressScreen_Gamepad |= <progress>로 진행 상황 화면을 엽니다.
ProgressScreen_KBM |= <progress>로 진행 상황 화면을 열거나 화면 왼쪽 하단의 나무 아이콘을 클릭합니다.

NedDay2 |= 안녕, 이웃주민! 만나서 반가워요. 난 네드예요. 네드 스크럼피. 당신 집 바로 남쪽에 있는 농장에 살아요. 새로 쌍둥이가 왔다고 들었어요. 나도 쌍둥이가 있는데 재밌지 않아요? 당신이나 당신 가족이 마을에 들러서 인사하길 바랐어요.
NedDay2 |= 친구를 사귀는 것은 매우 중요하죠, 그렇죠?
NedDay2 |= 친구의 열매를 따고, 농작물을 공유하고, 생활에 도움이 되는 정보를 얻고. 친구로부터 모든 종류의 혜택을 얻을 수 있어요.
NedDay2 |= 친구를 사귀는 가장 좋은 방법은 매일 한 번씩 친구에게 선물을 주고 호의를 베푸는 거죠. 우정 포인트(FP)를 획득하여 우정 레벨을 높일 수 있어요.
NedDay2 |= 누군가의 사랑 레벨을 올리면 결혼까지 할 수 있어요!
NedDay2 |= 결혼은 저에게 맞지 않는다고 생각하지만, 18 살이 넘어 성인이 되면 제 사업 제국을 운영할 수 있도록 도와줄 가족을 갖고 싶을지도 모르겠어요!
NedDay2 |= 있잖아요, <PlayerName>. 테스티 에이커스의 비참한 우리 가족을 대상으로 연습해 보세요. 우리 아빠를 행복하게 만드는 데 도전할 준비가 되었는지 확인해 보세요! 가는 길에 도움을 드리기 위해 아버지가 사과, 파이크, 토끼 사탕을 좋아한다고 말할 수 있지만, 제가 말했다고 하지 마세요!
NedDay2 |= 또 만나요.


PriestIntro |= 아! 어서 오세요! 어서 오세요!
PriestIntro |= Have you come to seek my services? I am the High Priest of Quill. I bless everything - marriages, water and even divorces!
PriestIntro |= If the spirit of love has entwined you with another, then you will need to offer your beloved a White Rose, which grows just there, except in Winter.
PriestIntro |= To marry, gift that to the one you love, and they will ask you to bake a fresh new Pie of You and I, which you must return to me in exchange for a Binding Band. Once you give your loved one the band, you can arrange the wedding, which takes place right here!
PriestIntro |= Here is the recipe for the Pie of You and I, should you ever decide to go down the road to marriage. Talk to me anytime about my other services, and feel free to read the books lying around for more information. May the spirit of love go with you.
LyricDismiss |= Sorry, can't talk now! I'm in the zone!

PottShopAdvice |= Grand Masters guide you to Renown,\nReputation points are all around,\nPott's advice, to the fore,\nBuy yerself the Vale Goods Store!
GrandmasterAfterJabber |= We had a wager that we'd not see you again! You've already had all our gifts, but we closely watch your progress now that the Jabberwock has gone.\nIt beats reading all those books we collected when we were alive!
